,AED
2010-01-04,317.89
2010-01-05,314.76
2010-01-06,311.54
2010-01-07,309.88
2010-01-08,308.5
2010-01-11,308.45
2010-01-12,304.87
2010-01-13,306.09
2010-01-14,306.67
2010-01-15,305.49
2010-01-18,305.79
2010-01-19,306.8
2010-01-20,306.1
2010-01-21,308.25
2010-01-22,309.96
2010-01-25,313.59
2010-01-26,312.84
2010-01-27,313.42
2010-01-28,315.81
2010-01-29,314.84
2010-02-01,315.24
2010-02-02,317.94
2010-02-03,315.84
2010-02-04,313.69
2010-02-05,313.99
2010-02-08,318.8
2010-02-09,319.24
2010-02-10,317.62
2010-02-11,315.24
2010-02-12,315.04
2010-02-16,314.43
2010-02-17,314.31
2010-02-18,311.11
2010-02-19,312.41
2010-02-22,315.2
2010-02-23,312.9
2010-02-24,312.68
2010-02-25,314.75
2010-02-26,315.38
2010-03-02,315.87
2010-03-03,313.83
2010-03-04,312.17
2010-03-05,311.42
2010-03-08,310.9
2010-03-09,308.65
2010-03-10,308.88
2010-03-11,308.41
2010-03-12,307.95
2010-03-15,307.93
2010-03-16,308.71
2010-03-17,308.7
2010-03-18,307.55
2010-03-19,308.03
2010-03-22,308.42
2010-03-23,309.44
2010-03-24,308.82
2010-03-25,309.15
2010-03-26,310.7
2010-03-29,310.87
2010-03-30,310.0
2010-03-31,307.87
2010-04-01,308.35
2010-04-02,307.21
2010-04-05,306.11
2010-04-06,306.32
2010-04-07,305.79
2010-04-08,305.43
2010-04-09,305.82
2010-04-12,304.6
2010-04-13,303.02
2010-04-14,304.96
2010-04-15,303.76
2010-04-16,301.86
2010-04-19,303.08
2010-04-20,304.12
2010-04-21,303.81
2010-04-22,302.23
2010-04-23,302.35
2010-04-26,302.21
2010-04-27,300.58
2010-04-28,301.34
2010-04-29,304.63
2010-04-30,303.7
2010-05-03,301.81
2010-05-04,303.78
2010-05-06,303.46
2010-05-07,309.59
2010-05-10,315.46
2010-05-11,308.69
2010-05-12,307.68
2010-05-13,309.86
2010-05-14,307.93
2010-05-17,308.5
2010-05-18,313.07
2010-05-19,313.17
2010-05-20,317.21
2010-05-24,320.89
2010-05-25,329.98
2010-05-26,341.72
2010-05-27,341.11
2010-05-28,336.01
2010-05-31,326.76
2010-06-01,327.14
2010-06-03,329.13
2010-06-04,327.99
2010-06-07,327.02
2010-06-08,336.2
2010-06-09,335.83
2010-06-10,338.22
2010-06-11,343.46
2010-06-14,337.84
2010-06-15,333.52
2010-06-16,333.24
2010-06-17,329.72
2010-06-18,331.05
2010-06-21,328.32
2010-06-22,320.38
2010-06-23,321.98
2010-06-24,323.5
2010-06-25,322.69
2010-06-28,327.99
2010-06-29,326.83
2010-06-30,329.52
2010-07-01,334.91
2010-07-02,335.21
2010-07-05,332.48
2010-07-06,333.13
2010-07-07,334.51
2010-07-08,332.65
2010-07-09,329.78
2010-07-12,326.38
2010-07-13,326.05
2010-07-14,327.98
2010-07-15,326.5
2010-07-16,328.01
2010-07-19,327.01
2010-07-20,331.05
2010-07-21,329.92
2010-07-22,327.7
2010-07-23,328.61
2010-07-26,325.96
2010-07-27,325.19
2010-07-28,322.25
2010-07-29,323.04
2010-07-30,323.23
2010-08-02,322.63
2010-08-03,319.48
2010-08-04,317.17
2010-08-05,318.4
2010-08-06,318.05
2010-08-09,317.37
2010-08-10,315.57
2010-08-11,317.79
2010-08-12,320.54
2010-08-13,324.97
2010-08-16,323.04
2010-08-17,324.87
2010-08-18,320.92
2010-08-19,319.61
2010-08-20,319.45
2010-08-23,321.24
2010-08-24,321.77
2010-08-25,323.74
2010-08-26,325.47
2010-08-27,325.22
2010-08-30,325.45
2010-08-31,323.77
2010-09-01,325.86
2010-09-02,324.15
2010-09-03,321.53
2010-09-06,320.69
2010-09-07,318.87
2010-09-08,320.32
2010-09-09,320.23
2010-09-10,318.3
2010-09-13,317.56
2010-09-14,316.21
2010-09-15,316.2
2010-09-16,316.07
2010-09-17,316.69
2010-09-20,316.66
2010-09-24,316.38
2010-09-27,314.85
2010-09-28,312.76
2010-09-29,312.7
2010-09-30,310.92
2010-10-01,310.75
2010-10-04,308.86
2010-10-05,306.05
2010-10-06,307.84
2010-10-07,304.96
2010-10-08,304.22
2010-10-11,304.89
2010-10-12,303.68
2010-10-13,306.83
2010-10-14,304.79
2010-10-15,302.97
2010-10-18,303.53
2010-10-19,304.16
2010-10-20,305.9
2010-10-21,308.0
2010-10-22,306.62
2010-10-25,307.52
2010-10-26,304.17
2010-10-27,304.32
2010-10-28,306.59
2010-10-29,306.72
2010-11-01,306.1
2010-11-02,304.24
2010-11-03,303.55
2010-11-04,302.3
2010-11-05,301.41
2010-11-08,301.18
2010-11-09,303.06
2010-11-10,303.79
2010-11-11,303.41
2010-11-12,301.53
2010-11-15,304.82
2010-11-16,307.44
2010-11-17,307.44
2010-11-18,309.97
2010-11-19,310.07
2010-11-22,308.11
2010-11-23,306.74
2010-11-24,308.8
2010-11-25,312.8
2010-11-26,311.56
2010-11-29,312.44
2010-11-30,315.08
2010-12-01,314.32
2010-12-02,314.24
2010-12-03,312.9
2010-12-06,311.33
2010-12-07,308.63
2010-12-08,308.81
2010-12-09,310.58
2010-12-10,309.94
2010-12-13,310.81
2010-12-14,311.33
2010-12-15,310.75
2010-12-16,313.42
2010-12-17,314.87
2010-12-20,313.32
2010-12-21,317.16
2010-12-22,314.03
2010-12-23,314.6
2010-12-24,313.5
2010-12-27,313.61
2010-12-28,313.26
2010-12-29,312.41
2010-12-30,312.03
2010-12-31,310.07
2011-01-03,310.07
2011-01-04,306.97
2011-01-05,305.55
2011-01-06,306.3
2011-01-07,305.78
2011-01-10,305.51
2011-01-11,305.1
2011-01-12,306.62
2011-01-13,304.93
2011-01-14,302.8
2011-01-17,303.48
2011-01-18,303.48
2011-01-19,304.06
2011-01-20,302.89
2011-01-21,304.45
2011-01-24,305.47
2011-01-25,305.01
2011-01-26,304.28
2011-01-27,304.44
2011-01-28,303.38
2011-01-31,303.39
2011-02-01,305.65
2011-02-07,304.04
2011-02-08,301.4
2011-02-09,300.68
2011-02-10,300.79
2011-02-11,303.0
2011-02-14,305.13
2011-02-15,305.98
2011-02-16,305.62
2011-02-17,305.12
2011-02-18,303.89
2011-02-21,303.03
2011-02-22,303.96
2011-02-23,306.53
2011-02-24,306.49
2011-02-25,306.81
2011-02-28,307.09
2011-03-02,307.33
2011-03-03,307.21
2011-03-04,305.62
2011-03-07,303.93
2011-03-08,304.35
2011-03-09,304.21
2011-03-10,303.63
2011-03-11,304.49
2011-03-14,306.16
2011-03-15,307.6
2011-03-16,308.01
2011-03-17,308.41
2011-03-18,309.72
2011-03-21,307.2
2011-03-22,306.54
2011-03-23,305.4
2011-03-24,305.94
2011-03-25,305.7
2011-03-28,303.43
2011-03-29,303.36
2011-03-30,303.47
2011-03-31,301.46
2011-04-01,299.53
2011-04-04,298.04
2011-04-05,295.94
2011-04-06,296.69
2011-04-07,295.55
2011-04-08,296.22
2011-04-11,295.52
2011-04-12,295.25
2011-04-13,297.23
2011-04-14,297.45
2011-04-15,296.59
2011-04-18,296.2
2011-04-19,296.72
2011-04-20,297.51
2011-04-21,295.05
2011-04-22,294.06
2011-04-25,294.54
2011-04-26,294.44
2011-04-27,295.54
2011-04-28,294.0
2011-04-29,291.93
2011-05-02,292.22
2011-05-03,290.45
2011-05-04,291.36
2011-05-06,292.57
2011-05-09,295.39
2011-05-11,294.01
2011-05-12,292.65
2011-05-13,294.77
2011-05-16,296.47
2011-05-17,297.53
2011-05-18,297.13
2011-05-19,295.86
2011-05-20,295.32
2011-05-23,294.79
2011-05-24,297.22
2011-05-25,298.07
2011-05-26,298.48
2011-05-27,296.9
2011-05-30,294.64
2011-05-31,294.2
2011-06-01,293.19
2011-06-02,293.06
2011-06-03,294.15
2011-06-07,293.36
2011-06-08,294.2
2011-06-09,294.45
2011-06-10,294.88
2011-06-13,294.38
2011-06-14,295.64
2011-06-15,294.99
2011-06-16,294.72
2011-06-17,296.46
2011-06-20,296.0
2011-06-21,294.91
2011-06-22,294.5
2011-06-23,292.68
2011-06-24,293.13
2011-06-27,293.47
2011-06-28,295.86
2011-06-29,294.52
2011-06-30,293.52
2011-07-01,291.34
2011-07-04,290.33
2011-07-05,289.63
2011-07-06,290.12
2011-07-07,289.93
2011-07-08,289.76
2011-07-11,288.16
2011-07-12,288.51
2011-07-13,290.28
2011-07-14,289.46
2011-07-15,287.7
2011-07-18,287.87
2011-07-19,288.93
2011-07-20,288.52
2011-07-21,287.32
2011-07-22,287.32
2011-07-25,286.2
2011-07-26,287.08
2011-07-27,286.65
2011-07-28,285.93
2011-07-29,286.58
2011-08-01,286.72
2011-08-02,285.74
2011-08-03,286.23
2011-08-04,288.21
2011-08-05,288.18
2011-08-08,291.15
2011-08-09,292.27
2011-08-10,297.36
2011-08-11,294.15
2011-08-12,295.59
2011-08-16,293.69
2011-08-17,291.32
2011-08-18,292.06
2011-08-19,291.94
2011-08-22,294.83
2011-08-23,294.96
2011-08-24,294.31
2011-08-25,293.77
2011-08-26,295.5
2011-08-29,295.29
2011-08-30,292.96
2011-08-31,291.8
2011-09-01,291.45
2011-09-02,289.41
2011-09-05,289.33
2011-09-06,290.85
2011-09-07,291.81
2011-09-08,291.78
2011-09-09,292.11
2011-09-14,292.98
2011-09-15,299.6
2011-09-16,301.7
2011-09-19,301.37
2011-09-20,305.55
2011-09-21,313.26
2011-09-22,312.33
2011-09-23,320.58
2011-09-26,322.9
2011-09-28,321.18
2011-09-29,319.28
2011-09-30,321.13
2011-10-04,320.75
2011-10-05,326.57
2011-10-06,324.64
2011-10-07,323.06
2011-10-10,321.24
2011-10-11,319.36
2011-10-12,316.96
2011-10-13,319.19
2011-10-14,315.28
2011-10-17,315.91
2011-10-18,311.92
2011-10-19,312.31
2011-10-20,309.75
2011-10-21,310.24
2011-10-24,312.96
2011-10-25,309.76
2011-10-26,307.09
2011-10-27,307.76
2011-10-28,306.15
2011-10-31,300.71
2011-11-01,300.9
2011-11-02,303.27
2011-11-03,306.62
2011-11-04,308.06
2011-11-07,302.92
2011-11-08,303.57
2011-11-09,303.92
2011-11-10,303.75
2011-11-11,308.82
2011-11-14,306.92
2011-11-15,305.08
2011-11-16,306.62
2011-11-17,308.88
2011-11-18,309.72
2011-11-21,309.39
2011-11-22,310.26
2011-11-23,312.17
2011-11-24,312.89
2011-11-25,315.03
2011-11-28,315.79
2011-11-29,314.43
2011-11-30,313.18
2011-12-01,310.54
2011-12-02,306.89
2011-12-05,307.05
2011-12-06,307.73
2011-12-07,307.98
2011-12-08,306.78
2011-12-09,307.9
2011-12-12,311.0
2011-12-13,311.73
2011-12-14,314.57
2011-12-15,315.41
2011-12-16,316.2
2011-12-19,314.87
2011-12-20,318.4
2011-12-21,317.75
2011-12-22,313.31
2011-12-23,314.77
2011-12-26,312.92
2011-12-27,313.09
2011-12-28,314.83
2011-12-29,315.11
2011-12-30,313.99
2012-01-02,314.0
2012-01-03,314.59
2012-01-04,313.35
2012-01-05,312.39
2012-01-06,313.18
2012-01-09,315.37
2012-01-10,316.99
2012-01-11,314.78
2012-01-12,315.65
2012-01-13,315.49
2012-01-16,313.28
2012-01-17,314.18
2012-01-18,312.28
2012-01-19,311.22
2012-01-20,309.39
2012-01-25,308.93
2012-01-26,306.64
2012-01-27,305.35
2012-01-30,305.98
2012-01-31,306.28
2012-02-01,306.5
2012-02-02,306.67
2012-02-03,304.52
2012-02-06,304.64
2012-02-07,304.9
2012-02-08,305.34
2012-02-09,304.03
2012-02-10,304.41
2012-02-13,305.25
2012-02-14,305.8
2012-02-15,305.9
2012-02-16,305.77
2012-02-17,307.04
2012-02-20,306.13
2012-02-21,305.66
2012-02-22,306.1
2012-02-23,306.64
2012-02-24,307.19
2012-02-27,306.21
2012-02-28,307.21
2012-02-29,306.7
2012-03-02,304.96
2012-03-05,303.44
2012-03-06,304.49
2012-03-07,305.01
2012-03-08,306.67
2012-03-09,304.87
2012-03-12,303.87
2012-03-13,305.5
2012-03-14,305.34
2012-03-15,305.96
2012-03-16,307.41
2012-03-19,306.13
2012-03-20,305.74
2012-03-21,305.77
2012-03-22,306.94
2012-03-23,307.73
2012-03-26,308.68
2012-03-27,309.86
2012-03-28,309.5
2012-03-29,309.61
2012-03-30,309.77
2012-04-02,308.79
2012-04-03,307.13
2012-04-04,305.85
2012-04-05,307.05
2012-04-06,307.51
2012-04-09,307.84
2012-04-10,309.72
2012-04-12,309.8
2012-04-13,311.0
2012-04-16,308.77
2012-04-17,309.75
2012-04-18,310.07
2012-04-19,309.45
2012-04-20,310.51
2012-04-23,310.43
2012-04-24,310.07
2012-04-25,310.7
2012-04-26,310.21
2012-04-27,309.77
2012-04-30,308.79
2012-05-02,308.09
2012-05-03,306.81
2012-05-04,307.65
2012-05-07,308.06
2012-05-08,310.07
2012-05-09,309.2
2012-05-10,310.37
2012-05-11,311.05
2012-05-14,311.79
2012-05-15,312.74
2012-05-16,314.21
2012-05-17,316.34
2012-05-18,316.69
2012-05-21,319.38
2012-05-22,317.64
2012-05-23,316.88
2012-05-24,319.0
2012-05-25,320.5
2012-05-29,321.37
2012-05-30,320.88
2012-05-31,320.66
2012-06-01,321.7
2012-06-04,321.34
2012-06-05,321.76
2012-06-07,321.76
2012-06-08,318.73
2012-06-11,319.36
2012-06-12,317.72
2012-06-13,318.68
2012-06-14,317.94
2012-06-15,317.67
2012-06-18,316.91
2012-06-19,315.38
2012-06-20,315.33
2012-06-21,313.83
2012-06-22,313.12
2012-06-25,315.06
2012-06-26,316.04
2012-06-27,315.79
2012-06-28,315.03
2012-06-29,314.13
2012-07-02,313.61
2012-07-03,311.38
2012-07-04,310.81
2012-07-05,309.09
2012-07-06,309.42
2012-07-09,309.94
2012-07-10,311.03
2012-07-11,311.22
2012-07-12,311.49
2012-07-13,311.95
2012-07-16,313.48
2012-07-17,312.44
2012-07-18,311.33
2012-07-19,310.43
2012-07-20,309.99
2012-07-23,310.56
2012-07-24,312.26
2012-07-25,312.58
2012-07-26,313.34
2012-07-27,312.33
2012-07-30,310.35
2012-07-31,309.34
2012-08-01,308.52
