,AUD
2010-01-04,1050.37
2010-01-05,1054.51
2010-01-06,1043.72
2010-01-07,1046.4
2010-01-08,1039.54
2010-01-11,1051.73
2010-01-12,1040.8
2010-01-13,1035.44
2010-01-14,1040.57
2010-01-15,1044.96
2010-01-18,1034.58
2010-01-19,1043.96
2010-01-20,1036.38
2010-01-21,1031.41
2010-01-22,1025.73
2010-01-25,1038.37
2010-01-26,1039.02
2010-01-27,1035.1
2010-01-28,1039.98
2010-01-29,1032.35
2010-02-01,1022.66
2010-02-02,1041.91
2010-02-03,1028.02
2010-02-04,1014.63
2010-02-05,1000.72
2010-02-08,1016.37
2010-02-09,1012.36
2010-02-10,1024.68
2010-02-11,1013.74
2010-02-12,1030.22
2010-02-16,1026.48
2010-02-17,1039.11
2010-02-18,1026.72
2010-02-19,1022.37
2010-02-22,1041.27
2010-02-23,1034.43
2010-02-24,1024.4
2010-02-25,1032.69
2010-02-26,1028.72
2010-03-02,1045.46
2010-03-03,1041.98
2010-03-04,1038.3
2010-03-05,1028.39
2010-03-08,1039.3
2010-03-09,1029.57
2010-03-10,1038.75
2010-03-11,1037.1
2010-03-12,1035.77
2010-03-15,1037.61
2010-03-16,1035.36
2010-03-17,1041.98
2010-03-18,1042.87
2010-03-19,1041.25
2010-03-22,1035.13
2010-03-23,1043.82
2010-03-24,1041.68
2010-03-25,1034.16
2010-03-26,1034.84
2010-03-29,1031.81
2010-03-30,1043.75
2010-03-31,1039.37
2010-04-01,1037.14
2010-04-02,1038.66
2010-04-05,1034.58
2010-04-06,1036.05
2010-04-07,1042.29
2010-04-08,1039.8
2010-04-09,1042.72
2010-04-12,1049.15
2010-04-13,1031.19
2010-04-14,1039.4
2010-04-15,1044.41
2010-04-16,1035.03
2010-04-19,1025.98
2010-04-20,1033.78
2010-04-21,1038.64
2010-04-22,1029.56
2010-04-23,1027.05
2010-04-26,1028.64
2010-04-27,1024.79
2010-04-28,1014.99
2010-04-29,1034.14
2010-04-30,1037.81
2010-05-03,1024.59
2010-05-04,1033.9
2010-05-06,1010.27
2010-05-07,1006.11
2010-05-10,1036.69
2010-05-11,1022.18
2010-05-12,1011.27
2010-05-13,1017.75
2010-05-14,1013.04
2010-05-17,1002.28
2010-05-18,1008.06
2010-05-19,991.64
2010-05-20,988.06
2010-05-24,976.94
2010-05-25,998.32
2010-05-26,1037.9
2010-05-27,1033.45
2010-05-28,1046.17
2010-05-31,1013.75
2010-06-01,1016.73
2010-06-03,1016.99
2010-06-04,1015.86
2010-06-07,982.98
2010-06-08,1001.42
2010-06-09,1019.18
2010-06-10,1029.97
2010-06-11,1070.32
2010-06-14,1060.41
2010-06-15,1051.23
2010-06-16,1056.47
2010-06-17,1045.46
2010-06-18,1053.88
2010-06-21,1062.88
2010-06-22,1032.32
2010-06-23,1032.41
2010-06-24,1040.15
2010-06-25,1028.1
2010-06-28,1050.74
2010-06-29,1043.51
2010-06-30,1029.84
2010-07-01,1034.27
2010-07-02,1042.27
2010-07-05,1026.42
2010-07-06,1025.19
2010-07-07,1044.13
2010-07-08,1055.09
2010-07-09,1061.98
2010-07-12,1049.79
2010-07-13,1048.53
2010-07-14,1064.63
2010-07-15,1057.21
2010-07-16,1063.81
2010-07-19,1039.37
2010-07-20,1054.37
2010-07-21,1069.6
2010-07-22,1054.9
2010-07-23,1078.61
2010-07-26,1071.02
2010-07-27,1076.93
2010-07-28,1066.9
2010-07-29,1059.13
2010-07-30,1069.61
2010-08-02,1072.84
2010-08-03,1072.31
2010-08-04,1066.56
2010-08-05,1071.09
2010-08-06,1068.96
2010-08-09,1070.29
2010-08-10,1061.97
2010-08-11,1065.42
2010-08-12,1052.92
2010-08-13,1070.72
2010-08-16,1061.38
2010-08-17,1069.17
2010-08-18,1066.66
2010-08-19,1054.46
2010-08-20,1045.7
2010-08-23,1048.05
2010-08-24,1051.74
2010-08-25,1050.18
2010-08-26,1057.99
2010-08-27,1056.86
2010-08-30,1078.61
2010-08-31,1061.03
2010-09-01,1068.38
2010-09-02,1083.03
2010-09-03,1074.3
2010-09-06,1077.8
2010-09-07,1072.99
2010-09-08,1071.76
2010-09-09,1079.81
2010-09-10,1079.84
2010-09-13,1083.53
2010-09-14,1084.22
2010-09-15,1090.67
2010-09-16,1089.7
2010-09-17,1088.93
2010-09-20,1090.52
2010-09-24,1103.12
2010-09-27,1110.9
2010-09-28,1101.87
2010-09-29,1110.77
2010-09-30,1106.08
2010-10-01,1100.04
2010-10-04,1102.35
2010-10-05,1087.29
2010-10-06,1099.1
2010-10-07,1094.06
2010-10-08,1096.78
2010-10-11,1109.17
2010-10-12,1096.38
2010-10-13,1111.67
2010-10-14,1110.6
2010-10-15,1104.4
2010-10-18,1102.94
2010-10-19,1105.86
2010-10-20,1088.71
2010-10-21,1115.57
2010-10-22,1102.38
2010-10-25,1110.47
2010-10-26,1104.85
2010-10-27,1102.28
2010-10-28,1095.32
2010-10-29,1102.55
2010-11-01,1107.28
2010-11-02,1104.21
2010-11-03,1114.18
2010-11-04,1115.68
2010-11-05,1123.88
2010-11-08,1122.3
2010-11-09,1126.68
2010-11-10,1118.65
2010-11-11,1117.14
2010-11-12,1104.34
2010-11-15,1105.73
2010-11-16,1111.08
2010-11-17,1101.87
2010-11-18,1116.47
2010-11-19,1127.34
2010-11-22,1118.97
2010-11-23,1112.93
2010-11-24,1103.97
2010-11-25,1129.83
2010-11-26,1119.05
2010-11-29,1110.99
2010-11-30,1113.79
2010-12-01,1107.17
2010-12-02,1115.94
2010-12-03,1122.06
2010-12-06,1135.21
2010-12-07,1121.81
2010-12-08,1115.54
2010-12-09,1116.8
2010-12-10,1120.24
2010-12-13,1122.88
2010-12-14,1137.73
2010-12-15,1139.29
2010-12-16,1136.06
2010-12-17,1145.22
