,BHD
2010-01-04,3097.08
2010-01-05,3066.76
2010-01-06,3035.36
2010-01-07,3019.02
2010-01-08,3005.92
2010-01-11,3005.04
2010-01-12,2970.21
2010-01-13,2982.04
2010-01-14,2987.8
2010-01-15,2976.39
2010-01-18,2979.31
2010-01-19,2989.05
2010-01-20,2982.23
2010-01-21,3003.53
2010-01-22,3019.89
2010-01-25,3050.66
2010-01-26,3048.01
2010-01-27,3053.66
2010-01-28,3075.33
2010-01-29,3067.72
2010-02-01,3071.27
2010-02-02,3097.53
2010-02-03,3077.11
2010-02-04,3056.15
2010-02-05,3059.15
2010-02-08,3106.1
2010-02-09,3110.26
2010-02-10,3094.35
2010-02-11,3071.19
2010-02-12,3069.23
2010-02-16,3063.23
2010-02-17,3058.09
2010-02-18,3031.11
2010-02-19,3043.93
2010-02-22,3071.09
2010-02-23,3048.54
2010-02-24,3046.5
2010-02-25,3066.66
2010-02-26,3072.76
2010-03-02,3077.54
2010-03-03,3057.56
2010-03-04,3041.46
2010-03-05,3033.95
2010-03-08,3028.91
2010-03-09,3007.08
2010-03-10,3009.36
2010-03-11,3004.59
2010-03-12,3000.08
2010-03-15,3000.27
2010-03-16,3007.69
2010-03-17,3006.92
2010-03-18,2995.78
2010-03-19,3000.88
2010-03-22,3005.04
2010-03-23,3014.35
2010-03-24,3008.59
2010-03-25,3011.7
2010-03-26,3027.14
2010-03-29,3028.3
2010-03-30,3020.0
2010-03-31,2999.31
2010-04-01,3003.74
2010-04-02,2992.6
2010-04-05,2982.23
2010-04-06,2984.19
2010-04-07,2979.12
2010-04-08,2975.52
2010-04-09,2979.15
2010-04-12,2967.64
2010-04-13,2952.25
2010-04-14,2971.01
2010-04-15,2959.34
2010-04-16,2940.77
2010-04-19,2952.79
2010-04-20,2962.94
2010-04-21,2960.07
2010-04-22,2944.64
2010-04-23,2945.62
2010-04-26,2944.3
2010-04-27,2928.38
2010-04-28,2935.81
2010-04-29,2967.9
2010-04-30,2958.89
2010-05-03,2940.32
2010-05-04,2959.68
2010-05-06,2956.42
2010-05-07,3016.18
2010-05-10,3073.47
2010-05-11,3007.43
2010-05-12,2997.53
2010-05-13,3018.83
2010-05-14,3000.08
2010-05-17,3005.57
2010-05-18,3050.05
2010-05-19,3050.85
2010-05-20,3090.45
2010-05-24,3126.26
2010-05-25,3214.85
2010-05-26,3329.27
2010-05-27,3323.34
2010-05-28,3273.74
2010-05-31,3183.64
2010-06-01,3187.27
2010-06-03,3206.72
2010-06-04,3195.58
2010-06-07,3186.03
2010-06-08,3275.42
2010-06-09,3271.88
2010-06-10,3294.96
2010-06-11,3345.98
2010-06-14,3291.51
2010-06-15,3249.34
2010-06-16,3246.33
2010-06-17,3212.2
2010-06-18,3225.2
2010-06-21,3198.67
2010-06-22,3121.14
2010-06-23,3136.79
2010-06-24,3151.72
2010-06-25,3143.77
2010-06-28,3195.58
2010-06-29,3183.83
2010-06-30,3210.09
2010-07-01,3262.78
2010-07-02,3265.78
2010-07-05,3239.26
2010-07-06,3245.62
2010-07-07,3258.89
2010-07-08,3240.85
2010-07-09,3212.73
2010-07-12,3179.84
2010-07-13,3176.31
2010-07-14,3195.14
2010-07-15,3180.9
2010-07-16,3195.49
2010-07-19,3185.77
2010-07-20,3225.2
2010-07-21,3214.15
2010-07-22,3192.57
2010-07-23,3201.33
2010-07-26,3175.68
2010-07-27,3168.09
2010-07-28,3139.52
2010-07-29,3147.21
2010-07-30,3149.07
2010-08-02,3143.24
2010-08-03,3112.47
2010-08-04,3100.0
2010-08-05,3102.12
2010-08-06,3098.67
2010-08-09,3092.04
2010-08-10,3074.54
2010-08-11,3096.02
2010-08-12,3122.81
2010-08-13,3166.05
2010-08-16,3147.66
2010-08-17,3164.99
2010-08-18,3126.94
2010-08-19,3113.79
2010-08-20,3112.2
2010-08-23,3129.71
2010-08-24,3134.75
2010-08-25,3153.85
2010-08-26,3170.82
2010-08-27,3168.17
2010-08-30,3170.46
2010-08-31,3154.11
2010-09-01,3174.54
2010-09-02,3158.09
2010-09-03,3132.46
2010-09-06,3124.06
2010-09-07,3106.22
2010-09-08,3120.26
2010-09-09,3119.73
2010-09-10,3101.47
2010-09-13,3093.9
2010-09-14,3081.05
2010-09-15,3080.64
2010-09-16,3078.88
2010-09-17,3085.33
2010-09-20,3085.06
2010-09-24,3082.33
2010-09-27,3067.29
2010-09-28,3047.05
2010-09-29,3046.42
2010-09-30,3029.18
2010-10-01,3027.24
2010-10-04,3009.02
2010-10-05,2982.09
2010-10-06,2999.05
2010-10-07,2971.09
2010-10-08,2963.85
2010-10-11,2970.18
2010-10-12,2958.54
2010-10-13,2989.31
2010-10-14,2969.34
2010-10-15,2951.57
2010-10-18,2956.76
2010-10-19,2963.24
2010-10-20,2980.13
2010-10-21,3000.8
2010-10-22,2987.19
2010-10-25,2996.1
2010-10-26,2963.32
2010-10-27,2964.64
2010-10-28,2986.74
2010-10-29,2988.33
2010-11-01,2981.96
2010-11-02,2964.0
2010-11-03,2957.69
2010-11-04,2945.17
2010-11-05,2936.34
2010-11-08,2934.11
2010-11-09,2952.21
2010-11-10,2959.45
2010-11-11,2955.7
2010-11-12,2937.59
2010-11-15,2969.57
2010-11-16,2995.23
2010-11-17,2995.23
2010-11-18,3019.89
2010-11-19,3020.95
2010-11-22,3001.86
2010-11-23,2987.83
2010-11-24,3008.17
2010-11-25,3047.48
2010-11-26,3036.35
2010-11-29,3044.11
2010-11-30,3069.52
2010-12-01,3062.01
2010-12-02,3061.21
2010-12-03,3048.38
2010-12-06,3033.08
2010-12-07,3006.66
2010-12-08,3008.41
2010-12-09,3025.73
2010-12-10,3019.63
2010-12-13,3028.12
2010-12-14,3033.16
2010-12-15,3027.59
2010-12-16,3053.5
2010-12-17,3067.56
2010-12-20,3052.44
2010-12-21,3089.84
2010-12-22,3058.99
2010-12-23,3064.91
2010-12-24,3054.21
2010-12-27,3055.7
2010-12-28,3051.67
2010-12-29,3043.69
2010-12-30,3039.81
2010-12-31,3020.79
2011-01-03,3020.71
2011-01-04,2990.56
2011-01-05,2976.84
2011-01-06,2984.08
2011-01-07,2978.97
2011-01-10,2976.39
2011-01-11,2972.49
2011-01-12,2987.11
2011-01-13,2970.9
2011-01-14,2950.21
2011-01-17,2956.76
2011-01-18,2956.84
2011-01-19,2962.41
2011-01-20,2951.01
2011-01-21,2966.13
2011-01-24,2976.05
2011-01-25,2971.54
2011-01-26,2964.53
2011-01-27,2966.13
2011-01-28,2955.31
2011-01-31,2955.7
2011-02-01,2977.91
2011-02-07,2962.07
2011-02-08,2936.34
2011-02-09,2929.44
2011-02-10,2930.5
2011-02-11,2951.99
2011-02-14,2972.68
2011-02-15,2981.01
2011-02-16,2977.45
2011-02-17,2972.68
2011-02-18,2960.11
2011-02-21,2952.1
2011-02-22,2961.27
2011-02-23,2986.31
2011-02-24,2985.81
2011-02-25,2988.89
2011-02-28,2991.54
2011-03-02,2993.85
2011-03-03,2992.71
2011-03-04,2977.32
2011-03-07,2960.51
2011-03-08,2964.86
2011-03-09,2963.53
2011-03-10,2958.01
2011-03-11,2966.34
2011-03-14,2982.76
2011-03-15,2996.74
2011-03-16,3000.72
2011-03-17,3004.69
2011-03-18,3016.87
2011-03-21,2992.68
2011-03-22,2986.31
2011-03-23,2975.17
2011-03-24,2980.48
2011-03-25,2978.09
2011-03-28,2956.23
2011-03-29,2955.28
2011-03-30,2956.34
2011-03-31,2936.87
2011-04-01,2917.65
2011-04-04,2903.22
2011-04-05,2882.79
2011-04-06,2890.53
2011-04-07,2879.39
2011-04-08,2886.02
2011-04-11,2879.05
2011-04-12,2876.47
2011-04-13,2895.83
2011-04-14,2897.95
2011-04-15,2889.43
2011-04-18,2885.75
2011-04-19,2890.75
2011-04-20,2898.44
2011-04-21,2874.69
2011-04-22,2864.76
2011-04-25,2869.88
2011-04-26,2868.47
2011-04-27,2879.31
2011-04-28,2864.53
2011-04-29,2844.37
2011-05-02,2846.95
2011-05-03,2829.78
2011-05-04,2838.5
2011-05-06,2850.4
2011-05-09,2877.98
2011-05-11,2864.76
2011-05-12,2851.5
2011-05-13,2871.96
2011-05-16,2888.33
2011-05-17,2899.06
2011-05-18,2895.11
2011-05-19,2882.72
2011-05-20,2877.42
2011-05-23,2871.81
2011-05-24,2895.91
2011-05-25,2904.06
2011-05-26,2908.03
2011-05-27,2892.96
2011-05-30,2870.71
2011-05-31,2866.24
2011-06-01,2856.65
2011-06-02,2855.32
2011-06-03,2865.93
2011-06-07,2858.17
2011-06-08,2866.31
2011-06-09,2868.78
2011-06-10,2873.02
2011-06-13,2867.98
2011-06-14,2880.37
2011-06-15,2874.01
2011-06-16,2871.43
2011-06-17,2888.33
2011-06-20,2883.9
2011-06-21,2873.29
2011-06-22,2869.31
2011-06-23,2851.38
2011-06-24,2855.97
2011-06-27,2859.15
2011-06-28,2882.49
2011-06-29,2869.5
2011-06-30,2859.68
2011-07-01,2838.46
2011-07-04,2828.57
2011-07-05,2821.75
2011-07-06,2826.6
2011-07-07,2824.74
2011-07-08,2823.15
2011-07-11,2807.43
2011-07-12,2810.88
2011-07-13,2828.12
2011-07-14,2820.01
2011-07-15,2802.84
2011-07-18,2804.51
2011-07-19,2814.78
2011-07-20,2810.95
2011-07-21,2799.28
2011-07-22,2799.28
2011-07-25,2788.4
2011-07-26,2796.93
2011-07-27,2793.13
2011-07-28,2785.97
2011-07-29,2792.04
2011-08-01,2793.37
2011-08-02,2783.82
2011-08-03,2788.59
2011-08-04,2808.26
2011-08-05,2807.99
2011-08-08,2836.91
2011-08-09,2847.78
2011-08-10,2897.39
2011-08-11,2866.09
2011-08-12,2880.15
2011-08-16,2861.43
2011-08-17,2838.35
2011-08-18,2845.51
2011-08-19,2844.3
2011-08-22,2872.49
2011-08-23,2873.82
2011-08-24,2867.37
2011-08-25,2861.99
2011-08-26,2878.78
2011-08-29,2876.66
2011-08-30,2854.04
2011-08-31,2842.63
2011-09-01,2839.18
2011-09-02,2819.55
2011-09-05,2818.83
2011-09-06,2833.69
2011-09-07,2842.9
2011-09-08,2842.63
2011-09-09,2845.55
2011-09-14,2853.88
2011-09-15,2918.83
2011-09-16,2939.26
2011-09-19,2936.07
2011-09-20,2976.84
2011-09-21,3051.99
2011-09-22,3042.89
2011-09-23,3123.26
2011-09-26,3145.81
2011-09-28,3129.09
2011-09-29,3110.53
2011-09-30,3128.56
2011-10-04,3124.85
2011-10-05,3181.61
2011-10-06,3162.78
2011-10-07,3147.4
2011-10-10,3129.63
2011-10-11,3111.32
2011-10-12,3087.98
2011-10-13,3109.73
2011-10-14,3071.54
2011-10-17,3077.64
2011-10-18,3038.91
2011-10-19,3042.62
2011-10-20,3017.69
2011-10-21,3022.47
2011-10-24,3048.99
2011-10-25,3017.61
2011-10-26,2991.62
2011-10-27,2998.25
2011-10-28,2982.6
2011-10-31,2929.55
2011-11-01,2931.41
2011-11-02,2954.49
2011-11-03,2987.27
2011-11-04,3000.93
2011-11-07,2951.19
2011-11-08,2957.17
2011-11-09,2960.93
2011-11-10,2959.34
2011-11-11,3008.67
2011-11-14,2990.19
2011-11-15,2972.18
2011-11-16,2987.27
