,CAD
2010-01-04,1110.15
2010-01-05,1109.76
2010-01-06,1101.19
2010-01-07,1102.69
2010-01-08,1095.51
2010-01-11,1099.37
2010-01-12,1083.4
2010-01-13,1081.9
2010-01-14,1092.96
2010-01-15,1096.28
2010-01-18,1090.75
2010-01-19,1098.66
2010-01-20,1090.07
2010-01-21,1082.66
2010-01-22,1082.33
2010-01-25,1088.75
2010-01-26,1086.98
2010-01-27,1083.13
2010-01-28,1090.12
2010-01-29,1084.13
2010-02-01,1082.81
2010-02-02,1100.92
2010-02-03,1096.87
2010-02-04,1084.63
2010-02-05,1075.29
2010-02-08,1094.39
2010-02-09,1089.98
2010-02-10,1093.04
2010-02-11,1089.89
2010-02-12,1102.0
2010-02-16,1100.53
2010-02-17,1104.15
2010-02-18,1092.19
2010-02-19,1091.35
2010-02-22,1113.97
2010-02-23,1102.39
2010-02-24,1088.01
2010-02-25,1097.34
2010-02-26,1092.42
2010-03-02,1114.29
2010-03-03,1112.75
2010-03-04,1111.69
2010-03-05,1109.62
2010-03-08,1111.77
2010-03-09,1102.66
2010-03-10,1105.43
2010-03-11,1105.45
2010-03-12,1104.76
2010-03-15,1111.76
2010-03-16,1112.43
2010-03-17,1118.16
2010-03-18,1117.71
2010-03-19,1116.29
2010-03-22,1113.85
2010-03-23,1117.12
2010-03-24,1115.72
2010-03-25,1109.16
2010-03-26,1113.53
2010-03-29,1111.9
2010-03-30,1114.74
2010-03-31,1109.61
2010-04-01,1115.43
2010-04-02,1118.9
2010-04-05,1115.27
2010-04-06,1122.8
2010-04-07,1122.2
2010-04-08,1116.05
2010-04-09,1121.18
2010-04-12,1116.18
2010-04-13,1109.89
2010-04-14,1118.14
2010-04-15,1117.54
2010-04-16,1106.32
2010-04-19,1096.75
2010-04-20,1101.03
2010-04-21,1117.48
2010-04-22,1110.54
2010-04-23,1108.12
2010-04-26,1111.11
2010-04-27,1103.72
2010-04-28,1089.64
2010-04-29,1107.77
2010-04-30,1111.28
2010-05-03,1090.83
2010-05-04,1103.77
2010-05-06,1081.09
2010-05-07,1080.59
2010-05-10,1116.98
2010-05-11,1106.04
2010-05-12,1107.18
2010-05-13,1116.61
2010-05-14,1107.14
2010-05-17,1094.36
2010-05-18,1112.68
2010-05-19,1105.43
2010-05-20,1116.74
2010-05-24,1109.17
2010-05-25,1139.47
2010-05-26,1175.57
2010-05-27,1171.15
2010-05-28,1175.82
2010-05-31,1137.85
2010-06-01,1152.23
2010-06-03,1162.57
2010-06-04,1157.36
2010-06-07,1128.96
2010-06-08,1165.07
2010-06-09,1176.89
2010-06-10,1189.73
2010-06-11,1223.27
2010-06-14,1203.3
2010-06-15,1185.24
2010-06-16,1192.94
2010-06-17,1181.0
2010-06-18,1181.4
2010-06-21,1183.12
2010-06-22,1149.85
2010-06-23,1150.89
2010-06-24,1143.27
2010-06-25,1136.88
2010-06-28,1161.72
2010-06-29,1158.18
2010-06-30,1148.62
2010-07-01,1156.27
2010-07-02,1162.72
2010-07-05,1148.66
2010-07-06,1149.08
2010-07-07,1165.43
2010-07-08,1165.56
2010-07-09,1160.93
2010-07-12,1160.9
2010-07-13,1155.72
2010-07-14,1168.55
2010-07-15,1160.95
2010-07-16,1159.93
2010-07-19,1136.6
2010-07-20,1152.18
2010-07-21,1161.01
2010-07-22,1148.75
2010-07-23,1164.12
2010-07-26,1153.65
2010-07-27,1157.14
2010-07-28,1143.24
2010-07-29,1142.84
2010-07-30,1146.83
2010-08-02,1150.82
2010-08-03,1147.24
2010-08-04,1141.36
2010-08-05,1148.26
2010-08-06,1148.39
2010-08-09,1133.45
2010-08-10,1128.24
2010-08-11,1132.49
2010-08-12,1123.54
2010-08-13,1144.89
2010-08-16,1139.74
2010-08-17,1144.01
2010-08-18,1141.32
2010-08-19,1143.2
2010-08-20,1128.66
2010-08-23,1124.79
2010-08-24,1122.32
2010-08-25,1121.17
2010-08-26,1127.95
2010-08-27,1128.71
2010-08-30,1139.21
2010-08-31,1121.69
2010-09-01,1124.13
2010-09-02,1132.39
2010-09-03,1121.56
2010-09-06,1133.64
2010-09-07,1130.72
2010-09-08,1122.09
2010-09-09,1134.01
2010-09-10,1131.37
2010-09-13,1129.69
2010-09-14,1129.22
2010-09-15,1130.65
2010-09-16,1131.77
2010-09-17,1133.78
2010-09-20,1126.49
2010-09-24,1123.4
2010-09-27,1128.58
2010-09-28,1114.85
2010-09-29,1114.62
2010-09-30,1106.16
2010-10-01,1106.77
2010-10-04,1112.27
2010-10-05,1098.93
2010-10-06,1113.22
2010-10-07,1107.75
2010-10-08,1097.21
2010-10-11,1109.11
2010-10-12,1100.22
2010-10-13,1115.57
2010-10-14,1116.37
2010-10-15,1107.81
2010-10-18,1100.67
2010-10-19,1098.26
2010-10-20,1087.13
2010-10-21,1106.41
2010-10-22,1097.71
2010-10-25,1100.07
2010-10-26,1094.92
2010-10-27,1091.77
2010-10-28,1095.12
2010-10-29,1105.05
2010-11-01,1103.78
2010-11-02,1102.24
2010-11-03,1104.79
2010-11-04,1100.72
2010-11-05,1104.35
2010-11-08,1105.38
2010-11-09,1109.38
2010-11-10,1106.94
2010-11-11,1112.63
2010-11-12,1103.47
2010-11-15,1106.83
2010-11-16,1118.08
2010-11-17,1104.62
2010-11-18,1111.87
2010-11-19,1117.5
2010-11-22,1113.71
2010-11-23,1106.04
2010-11-24,1109.35
2010-11-25,1137.69
2010-11-26,1133.57
2010-11-29,1126.98
2010-11-30,1135.83
2010-12-01,1125.68
2010-12-02,1133.51
2010-12-03,1145.23
2010-12-06,1139.8
2010-12-07,1127.62
2010-12-08,1121.86
2010-12-09,1128.68
2010-12-10,1126.74
2010-12-13,1130.35
2010-12-14,1134.87
2010-12-15,1135.16
2010-12-16,1146.16
2010-12-17,1149.72
2010-12-20,1136.48
2010-12-21,1144.86
2010-12-22,1133.41
2010-12-23,1140.45
2010-12-24,1140.1
2010-12-27,1141.22
2010-12-28,1142.77
2010-12-29,1145.15
2010-12-30,1146.16
2010-12-31,1138.67
2011-01-03,1146.29
2011-01-04,1135.73
2011-01-05,1124.27
2011-01-06,1128.89
2011-01-07,1126.71
2011-01-10,1130.29
2011-01-11,1128.05
2011-01-12,1137.86
2011-01-13,1135.5
2011-01-14,1124.46
2011-01-17,1128.41
2011-01-18,1129.32
2011-01-19,1125.64
2011-01-20,1117.36
2011-01-21,1121.11
2011-01-24,1129.0
2011-01-25,1127.35
2011-01-26,1121.02
2011-01-27,1123.2
2011-01-28,1119.62
2011-01-31,1112.74
2011-02-01,1122.31
2011-02-07,1131.01
2011-02-08,1117.45
2011-02-09,1109.95
2011-02-10,1111.69
2011-02-11,1117.43
2011-02-14,1135.17
2011-02-15,1136.17
2011-02-16,1134.01
2011-02-17,1137.42
2011-02-18,1133.31
2011-02-21,1129.26
2011-02-22,1135.82
2011-02-23,1137.16
2011-02-24,1138.03
2011-02-25,1146.62
2011-02-28,1153.98
2011-03-02,1158.63
2011-03-03,1160.01
2011-03-04,1154.4
2011-03-07,1148.18
2011-03-08,1148.63
2011-03-09,1150.71
2011-03-10,1151.11
2011-03-11,1146.72
2011-03-14,1154.81
2011-03-15,1160.26
2011-03-16,1148.29
2011-03-17,1140.96
2011-03-18,1154.28
2011-03-21,1146.36
2011-03-22,1150.05
2011-03-23,1143.13
2011-03-24,1145.81
2011-03-25,1150.23
2011-03-28,1135.51
2011-03-29,1138.86
2011-03-30,1144.0
2011-03-31,1139.62
2011-04-01,1134.47
2011-04-04,1136.42
2011-04-05,1124.28
2011-04-06,1130.8
2011-04-07,1130.55
2011-04-08,1134.16
2011-04-11,1135.12
2011-04-12,1134.25
2011-04-13,1134.12
2011-04-14,1134.71
2011-04-15,1133.73
2011-04-18,1133.35
2011-04-19,1130.13
2011-04-20,1143.63
2011-04-21,1137.15
2011-04-22,1133.13
2011-04-25,1134.56
2011-04-26,1133.71
2011-04-27,1141.85
2011-04-28,1136.02
2011-04-29,1128.32
2011-05-02,1133.97
2011-05-03,1121.06
2011-05-04,1123.22
2011-05-06,1112.19
2011-05-09,1125.46
2011-05-11,1128.78
2011-05-12,1119.22
2011-05-13,1124.53
2011-05-16,1123.04
2011-05-17,1120.76
2011-05-18,1122.9
2011-05-19,1120.66
2011-05-20,1121.54
2011-05-23,1111.2
2011-05-24,1116.43
2011-05-25,1120.86
2011-05-26,1121.42
2011-05-27,1113.66
2011-05-30,1107.34
2011-05-31,1106.49
2011-06-01,1113.07
2011-06-02,1101.85
2011-06-03,1107.76
2011-06-07,1099.6
2011-06-08,1108.99
2011-06-09,1103.91
2011-06-10,1112.7
2011-06-13,1103.66
2011-06-14,1112.03
2011-06-15,1118.45
2011-06-16,1106.51
2011-06-17,1109.48
2011-06-20,1108.48
2011-06-21,1106.15
2011-06-22,1111.83
2011-06-23,1103.36
2011-06-24,1101.03
2011-06-27,1089.67
2011-06-28,1102.8
2011-06-29,1101.8
2011-06-30,1114.08
2011-07-01,1109.72
2011-07-04,1112.11
2011-07-05,1108.47
2011-07-06,1106.43
2011-07-07,1103.87
2011-07-08,1110.44
2011-07-11,1098.95
2011-07-12,1093.83
2011-07-13,1104.18
2011-07-14,1111.32
2011-07-15,1100.9
2011-07-18,1108.16
2011-07-19,1106.11
2011-07-20,1114.77
2011-07-21,1115.13
2011-07-22,1117.96
2011-07-25,1106.93
2011-07-26,1113.28
2011-07-27,1115.77
2011-07-28,1106.41
2011-07-29,1108.41
2011-08-01,1103.94
2011-08-02,1098.15
2011-08-03,1093.05
2011-08-04,1101.5
2011-08-05,1079.0
2011-08-08,1088.17
2011-08-09,1082.21
2011-08-10,1113.98
2011-08-11,1086.92
2011-08-12,1101.06
2011-08-16,1099.09
2011-08-17,1088.5
2011-08-18,1094.37
2011-08-19,1081.98
2011-08-22,1092.46
2011-08-23,1093.63
2011-08-24,1093.58
2011-08-25,1092.6
2011-08-26,1098.48
2011-08-29,1104.83
2011-08-30,1102.4
