,CHF
2010-01-04,1128.17
2010-01-05,1122.31
2010-01-06,1106.67
2010-01-07,1107.41
2010-01-08,1095.46
2010-01-11,1106.62
2010-01-12,1102.44
2010-01-13,1103.78
2010-01-14,1106.1
2010-01-15,1101.5
2010-01-18,1093.14
2010-01-19,1100.92
2010-01-20,1088.38
2010-01-21,1084.37
2010-01-22,1090.99
2010-01-25,1105.07
2010-01-26,1105.06
2010-01-27,1099.94
2010-01-28,1104.93
2010-01-29,1098.6
2010-02-01,1090.87
2010-02-02,1105.61
2010-02-03,1099.57
2010-02-04,1088.32
2010-02-05,1081.18
2010-02-08,1089.2
2010-02-09,1093.03
2010-02-10,1096.33
2010-02-11,1085.5
2010-02-12,1080.69
2010-02-16,1071.63
2010-02-17,1081.06
2010-02-18,1059.53
2010-02-19,1055.75
2010-02-22,1075.07
2010-02-23,1068.17
2010-02-24,1060.28
2010-02-25,1069.62
2010-02-26,1072.39
2010-03-02,1075.55
2010-03-03,1072.08
2010-03-04,1073.9
2010-03-05,1061.58
2010-03-08,1064.76
2010-03-09,1055.49
2010-03-10,1055.64
2010-03-11,1058.35
2010-03-12,1058.94
2010-03-15,1068.18
2010-03-16,1067.7
2010-03-17,1074.19
2010-03-18,1070.82
2010-03-19,1069.94
2010-03-22,1068.02
2010-03-23,1074.25
2010-03-24,1071.86
2010-03-25,1059.78
2010-03-26,1062.92
2010-03-29,1072.98
2010-03-30,1071.88
2010-03-31,1060.74
2010-04-01,1075.24
2010-04-02,1070.04
2010-04-05,1059.51
2010-04-06,1059.57
2010-04-07,1051.2
2010-04-08,1043.92
2010-04-09,1046.44
2010-04-12,1058.57
2010-04-13,1050.74
2010-04-14,1062.76
2010-04-15,1060.75
2010-04-16,1049.31
2010-04-19,1048.36
2010-04-20,1050.9
2010-04-21,1043.1
2010-04-22,1037.04
2010-04-23,1024.49
2010-04-26,1034.53
2010-04-27,1031.44
2010-04-28,1017.79
2010-04-29,1031.29
2010-04-30,1031.25
2010-05-03,1029.92
2010-05-04,1027.82
2010-05-06,997.32
2010-05-07,1020.78
2010-05-10,1049.74
2010-05-11,1020.84
2010-05-12,1016.55
2010-05-13,1025.13
2010-05-14,1012.26
2010-05-17,1000.4
2010-05-18,1015.27
2010-05-19,999.57
2010-05-20,1010.89
2010-05-24,1024.87
2010-05-25,1044.65
2010-05-26,1084.41
2010-05-27,1080.18
2010-05-28,1070.89
2010-05-31,1036.71
2010-06-01,1039.36
2010-06-03,1045.49
2010-06-04,1041.68
2010-06-07,1032.49
2010-06-08,1061.83
2010-06-09,1070.19
2010-06-10,1081.82
2010-06-11,1103.05
2010-06-14,1084.32
2010-06-15,1072.12
2010-06-16,1079.32
2010-06-17,1071.21
2010-06-18,1093.73
2010-06-21,1091.07
2010-06-22,1059.8
2010-06-23,1067.86
2010-06-24,1075.44
2010-06-25,1075.5
2010-06-28,1102.4
2010-06-29,1103.87
2010-06-30,1119.2
2010-07-01,1140.83
2010-07-02,1160.2
2010-07-05,1147.69
2010-07-06,1149.19
2010-07-07,1157.96
2010-07-08,1161.85
2010-07-09,1153.08
2010-07-12,1136.41
2010-07-13,1128.39
2010-07-14,1141.86
2010-07-15,1139.38
2010-07-16,1155.7
2010-07-19,1144.72
2010-07-20,1153.33
2010-07-21,1152.23
2010-07-22,1145.69
2010-07-23,1157.03
2010-07-26,1136.03
2010-07-27,1138.61
2010-07-28,1115.97
2010-07-29,1122.89
2010-07-30,1141.7
2010-08-02,1137.56
2010-08-03,1129.25
2010-08-04,1123.86
2010-08-05,1110.06
2010-08-06,1116.61
2010-08-09,1122.05
2010-08-10,1104.9
2010-08-11,1113.95
2010-08-12,1110.45
2010-08-13,1137.25
2010-08-16,1129.44
2010-08-17,1147.53
2010-08-18,1129.35
2010-08-19,1126.26
2010-08-20,1137.3
2010-08-23,1139.72
2010-08-24,1134.49
2010-08-25,1152.41
2010-08-26,1161.37
2010-08-27,1166.29
2010-08-30,1162.08
2010-08-31,1159.19
2010-09-01,1179.0
2010-09-02,1172.83
2010-09-03,1165.96
2010-09-06,1158.8
2010-09-07,1159.49
2010-09-08,1163.43
2010-09-09,1163.11
2010-09-10,1151.31
2010-09-13,1142.91
2010-09-14,1152.3
2010-09-15,1165.83
2010-09-16,1156.75
2010-09-17,1145.39
2010-09-20,1152.27
2010-09-24,1179.38
2010-09-27,1174.43
2010-09-28,1165.29
2010-09-29,1175.9
2010-09-30,1168.65
2010-10-01,1159.86
2010-10-04,1161.76
2010-10-05,1156.84
2010-10-06,1169.77
2010-10-07,1164.22
2010-10-08,1156.37
2010-10-11,1164.53
2010-10-12,1155.38
2010-10-13,1177.15
2010-10-14,1168.58
2010-10-15,1166.89
2010-10-18,1162.66
2010-10-19,1165.51
2010-10-20,1156.44
2010-10-21,1175.62
2010-10-22,1163.97
2010-10-25,1155.26
2010-10-26,1148.2
2010-10-27,1135.41
2010-10-28,1136.8
2010-10-29,1145.56
2010-11-01,1143.99
2010-11-02,1126.7
2010-11-03,1137.77
2010-11-04,1142.75
2010-11-05,1155.11
2010-11-08,1150.03
2010-11-09,1152.46
2010-11-10,1152.33
2010-11-11,1147.88
2010-11-12,1135.2
2010-11-15,1143.63
2010-11-16,1146.22
2010-11-17,1133.22
2010-11-18,1148.55
2010-11-19,1143.76
2010-11-22,1140.54
2010-11-23,1139.95
2010-11-24,1137.84
2010-11-25,1153.92
2010-11-26,1144.57
2010-11-29,1143.83
2010-11-30,1159.68
2010-12-01,1150.36
2010-12-02,1150.4
2010-12-03,1157.63
2010-12-06,1172.4
2010-12-07,1154.2
2010-12-08,1148.79
2010-12-09,1156.54
2010-12-10,1157.85
2010-12-13,1163.06
2010-12-14,1180.63
2010-12-15,1188.9
2010-12-16,1189.75
2010-12-17,1199.44
2010-12-20,1185.96
2010-12-21,1206.9
2010-12-22,1203.42
2010-12-23,1214.14
2010-12-24,1201.61
2010-12-27,1198.13
2010-12-28,1198.35
2010-12-29,1205.42
2010-12-30,1213.7
2010-12-31,1218.01
2011-01-03,1219.9
2011-01-04,1206.98
2011-01-05,1183.92
2011-01-06,1164.36
2011-01-07,1163.53
2011-01-10,1158.72
2011-01-11,1158.78
2011-01-12,1156.32
2011-01-13,1158.34
2011-01-14,1153.97
2011-01-17,1156.87
2011-01-18,1154.59
2011-01-19,1158.45
2011-01-20,1164.68
2011-01-21,1155.76
2011-01-24,1170.7
2011-01-25,1180.88
2011-01-26,1185.72
2011-01-27,1186.04
2011-01-28,1178.03
2011-01-31,1182.66
2011-02-01,1189.24
2011-02-07,1168.4
2011-02-08,1158.62
2011-02-09,1146.71
2011-02-10,1153.0
2011-02-11,1148.21
2011-02-14,1151.92
2011-02-15,1158.36
2011-02-16,1160.87
2011-02-17,1168.37
2011-02-18,1175.38
2011-02-21,1177.47
2011-02-22,1179.13
2011-02-23,1200.32
2011-02-24,1206.52
2011-02-25,1217.68
2011-02-28,1214.82
2011-03-02,1216.18
2011-03-03,1221.74
2011-03-04,1204.31
2011-03-07,1205.59
2011-03-08,1206.32
2011-03-09,1195.08
2011-03-10,1199.4
2011-03-11,1199.94
2011-03-14,1211.35
2011-03-15,1222.59
2011-03-16,1233.7
2011-03-17,1258.74
2011-03-18,1266.53
2011-03-21,1250.26
2011-03-22,1243.47
2011-03-23,1241.16
2011-03-24,1237.49
2011-03-25,1236.77
2011-03-28,1208.46
2011-03-29,1215.71
2011-03-30,1210.34
2011-03-31,1205.25
2011-04-01,1196.28
2011-04-04,1182.84
2011-04-05,1177.89
2011-04-06,1177.16
2011-04-07,1182.4
2011-04-08,1187.45
2011-04-11,1193.27
2011-04-12,1195.33
2011-04-13,1217.67
2011-04-14,1219.58
2011-04-15,1220.55
2011-04-18,1219.21
2011-04-19,1217.22
2011-04-20,1214.69
2011-04-21,1218.26
2011-04-22,1218.52
2011-04-25,1221.27
2011-04-26,1227.37
2011-04-27,1247.06
2011-04-28,1233.47
2011-04-29,1227.87
2011-05-02,1238.8
2011-05-03,1233.29
2011-05-04,1241.68
2011-05-06,1234.82
2011-05-09,1235.83
2011-05-11,1227.16
2011-05-12,1212.73
2011-05-13,1224.22
2011-05-16,1219.51
2011-05-17,1235.22
2011-05-18,1241.07
2011-05-19,1233.06
2011-05-20,1231.49
2011-05-23,1233.85
2011-05-24,1234.12
2011-05-25,1244.02
2011-05-26,1256.43
2011-05-27,1259.67
2011-05-30,1271.83
2011-05-31,1271.89
2011-06-01,1261.67
2011-06-02,1278.31
2011-06-03,1280.78
2011-06-07,1290.34
2011-06-08,1291.12
2011-06-09,1293.51
2011-06-10,1287.03
2011-06-13,1283.09
2011-06-14,1297.22
2011-06-15,1282.32
2011-06-16,1269.35
2011-06-17,1283.1
2011-06-20,1280.57
2011-06-21,1282.12
2011-06-22,1284.37
2011-06-23,1278.85
2011-06-24,1284.84
2011-06-27,1291.52
2011-06-28,1302.69
2011-06-29,1298.84
2011-06-30,1293.23
2011-07-01,1270.83
2011-07-04,1258.44
2011-07-05,1255.15
2011-07-06,1268.04
2011-07-07,1268.49
2011-07-08,1259.9
2011-07-11,1264.59
2011-07-12,1267.36
2011-07-13,1281.72
2011-07-14,1310.81
2011-07-15,1296.56
2011-07-18,1304.99
2011-07-19,1298.5
2011-07-20,1285.81
2011-07-21,1282.1
2011-07-22,1291.76
2011-07-25,1292.75
2011-07-26,1308.88
2011-07-27,1313.42
2011-07-28,1310.78
2011-07-29,1312.55
2011-08-01,1331.77
2011-08-02,1335.92
2011-08-03,1373.62
2011-08-04,1374.09
2011-08-05,1382.03
2011-08-08,1405.63
2011-08-09,1423.46
2011-08-10,1511.38
2011-08-11,1487.44
2011-08-12,1425.27
2011-08-16,1375.45
2011-08-17,1345.74
2011-08-18,1358.45
2011-08-19,1349.57
2011-08-22,1374.59
2011-08-23,1372.17
2011-08-24,1363.44
2011-08-25,1355.19
2011-08-26,1365.93
2011-08-29,1340.96
2011-08-30,1317.9
2011-08-31,1307.83
2011-09-01,1326.89
2011-09-02,1336.94
2011-09-05,1344.68
2011-09-06,1360.03
2011-09-07,1243.96
2011-09-08,1248.05
2011-09-09,1227.25
2011-09-14,1222.87
2011-09-15,1256.31
2011-09-16,1272.95
2011-09-19,1257.56
2011-09-20,1266.35
2011-09-21,1295.5
2011-09-22,1275.66
2011-09-23,1297.09
2011-09-26,1310.5
2011-09-28,1315.68
2011-09-29,1301.55
2011-09-30,1313.4
2011-10-04,1279.57
2011-10-05,1304.37
2011-10-06,1291.31
2011-10-07,1289.36
2011-10-10,1272.61
2011-10-11,1297.21
2011-10-12,1280.89
2011-10-13,1310.09
2011-10-14,1286.67
2011-10-17,1301.44
2011-10-18,1275.41
2011-10-19,1275.26
2011-10-20,1259.91
2011-10-21,1275.04
2011-10-24,1300.78
2011-10-25,1292.11
2011-10-26,1284.19
2011-10-27,1281.12
2011-10-28,1306.49
2011-10-31,1280.65
2011-11-01,1258.13
2011-11-02,1252.28
2011-11-03,1272.18
2011-11-04,1287.77
2011-11-07,1251.8
2011-11-08,1237.65
2011-11-09,1246.84
2011-11-10,1226.18
2011-11-11,1252.06
2011-11-14,1253.67
2011-11-15,1233.19
2011-11-16,1229.41
2011-11-17,1233.15
2011-11-18,1234.78
2011-11-21,1237.98
2011-11-22,1242.21
2011-11-23,1254.28
2011-11-24,1249.13
2011-11-25,1258.2
2011-11-28,1249.82
2011-11-29,1251.65
2011-11-30,1249.58
2011-12-01,1247.99
2011-12-02,1230.97
2011-12-05,1224.03
2011-12-06,1226.99
2011-12-07,1222.26
2011-12-08,1220.27
2011-12-09,1221.21
2011-12-12,1233.65
2011-12-13,1220.88
2011-12-14,1222.45
2011-12-15,1215.38
2011-12-16,1235.53
2011-12-19,1235.05
2011-12-20,1247.4
2011-12-21,1252.99
2011-12-22,1229.66
2011-12-23,1235.59
2011-12-26,1226.68
2011-12-27,1228.44
2011-12-28,1237.59
2011-12-29,1227.36
2011-12-30,1225.87
2012-01-02,1229.14
2012-01-03,1229.52
2012-01-04,1234.54
2012-01-05,1217.85
2012-01-06,1207.16
2012-01-09,1209.44
2012-01-10,1226.48
2012-01-11,1217.82
2012-01-12,1215.18
2012-01-13,1226.89
2012-01-16,1204.82
2012-01-17,1206.86
2012-01-18,1208.13
2012-01-19,1216.52
2012-01-20,1219.31
2012-01-25,1223.13
2012-01-26,1221.98
2012-01-27,1218.14
2012-01-30,1230.48
2012-01-31,1226.22
2012-02-01,1223.83
2012-02-02,1231.58
2012-02-03,1220.0
2012-02-06,1217.25
2012-02-07,1218.28
2012-02-08,1230.12
2012-02-09,1220.97
2012-02-10,1226.32
2012-02-13,1229.25
2012-02-14,1223.73
2012-02-15,1221.24
2012-02-16,1214.95
2012-02-17,1227.0
2012-02-20,1228.52
2012-02-21,1230.69
2012-02-22,1231.91
2012-02-23,1237.22
2012-02-24,1251.86
2012-02-27,1256.79
2012-02-28,1254.68
2012-02-29,1257.96
2012-03-02,1236.79
2012-03-05,1218.63
2012-03-06,1224.1
2012-03-07,1219.04
2012-03-08,1228.55
2012-03-09,1232.99
2012-03-12,1213.28
2012-03-13,1224.67
2012-03-14,1214.4
2012-03-15,1207.22
2012-03-16,1222.83
2012-03-19,1228.18
2012-03-20,1231.76
2012-03-21,1232.42
2012-03-22,1235.24
2012-03-23,1237.46
2012-03-26,1249.37
2012-03-27,1260.21
2012-03-28,1256.55
2012-03-29,1256.57
2012-03-30,1255.3
2012-04-02,1258.96
2012-04-03,1248.87
2012-04-04,1233.29
2012-04-05,1231.69
2012-04-06,1227.52
2012-04-09,1229.82
2012-04-10,1241.24
2012-04-12,1240.56
2012-04-13,1253.42
2012-04-16,1232.58
2012-04-17,1243.46
2012-04-18,1244.29
2012-04-19,1240.83
2012-04-20,1246.93
2012-04-23,1252.42
2012-04-24,1246.27
2012-04-25,1253.45
2012-04-26,1254.16
2012-04-27,1248.48
2012-04-30,1250.15
2012-05-02,1246.53
2012-05-03,1233.61
2012-05-04,1236.93
2012-05-07,1223.38
2012-05-08,1237.73
2012-05-09,1228.25
2012-05-10,1227.85
2012-05-11,1230.28
2012-05-14,1229.35
2012-05-15,1226.72
2012-05-16,1223.8
2012-05-17,1230.7
2012-05-18,1229.4
2012-05-21,1245.06
2012-05-22,1244.41
2012-05-23,1228.26
2012-05-24,1228.52
2012-05-25,1227.91
2012-05-29,1230.99
2012-05-30,1224.58
2012-05-31,1212.6
2012-06-01,1216.39
2012-06-04,1219.95
2012-06-05,1230.4
2012-06-07,1230.4
2012-06-08,1225.09
2012-06-11,1234.67
2012-06-12,1211.84
2012-06-13,1219.21
2012-06-14,1221.74
2012-06-15,1226.73
2012-06-18,1232.4
2012-06-19,1214.19
2012-06-20,1223.15
2012-06-21,1217.92
2012-06-22,1201.59
2012-06-25,1208.31
2012-06-26,1208.54
2012-06-27,1206.41
2012-06-28,1201.68
2012-06-29,1194.78
2012-07-02,1213.61
2012-07-03,1197.72
2012-07-04,1197.9
2012-07-05,1183.71
2012-07-06,1172.01
2012-07-09,1163.83
2012-07-10,1171.99
2012-07-11,1166.01
2012-07-12,1166.79
2012-07-13,1164.9
2012-07-16,1174.48
2012-07-17,1172.28
2012-07-18,1169.76
2012-07-19,1165.49
2012-07-20,1163.8
2012-07-23,1151.41
2012-07-24,1157.02
2012-07-25,1153.46
2012-07-26,1163.88
2012-07-27,1173.07
2012-07-30,1167.93
2012-07-31,1159.68
2012-08-01,1159.88
2012-08-02,1148.39
2012-08-03,1145.81
2012-08-06,1170.36
2012-08-07,1162.18
2012-08-08,1162.64
2012-08-09,1161.81
2012-08-10,1153.36
2012-08-13,1153.83
2012-08-14,1161.58
2012-08-16,1155.0
2012-08-17,1165.68
2012-08-20,1164.03
2012-08-21,1167.85
2012-08-22,1175.28
2012-08-23,1183.87
2012-08-24,1182.54
2012-08-27,1181.92
2012-08-28,1182.24
2012-08-29,1189.85
2012-08-30,1183.35
2012-08-31,1182.0
2012-09-03,1187.79
2012-09-04,1185.88
2012-09-05,1183.58
2012-09-06,1187.24
2012-09-07,1189.37
2012-09-10,1195.85
2012-09-11,1193.21
2012-09-12,1202.73
2012-09-13,1201.54
2012-09-14,1206.07
2012-09-17,1209.22
2012-09-18,1202.42
2012-09-19,1203.77
2012-09-20,1204.75
2012-09-21,1198.76
2012-09-24,1200.11
2012-09-25,1197.2
2012-09-26,1192.79
2012-09-27,1193.12
2012-09-28,1193.05
2012-10-02,1186.33
2012-10-04,1186.82
2012-10-05,1196.2
2012-10-08,1192.85
2012-10-09,1190.4
2012-10-10,1180.48
2012-10-11,1186.06
2012-10-12,1192.94
2012-10-15,1189.81
2012-10-16,1191.83
2012-10-17,1198.48
2012-10-18,1197.7
2012-10-19,1195.35
2012-10-22,1190.74
2012-10-23,1192.64
2012-10-24,1181.77
2012-10-25,1183.09
2012-10-26,1177.65
2012-10-29,1172.16
