,CNH
2016-01-04,177.84
2016-01-05,179.19
2016-01-06,178.97
2016-01-07,179.05
2016-01-08,179.04
2016-01-11,179.13
2016-01-12,180.91
2016-01-13,183.05
2016-01-14,183.52
2016-01-15,183.84
2016-01-18,183.09
2016-01-19,184.24
2016-01-20,183.43
2016-01-21,183.57
2016-01-22,183.09
2016-01-25,182.23
2016-01-26,180.77
2016-01-27,181.6
2016-01-28,181.6
2016-01-29,182.78
2016-02-01,182.44
2016-02-02,182.57
2016-02-03,181.86
2016-02-04,183.37
2016-02-05,181.83
2016-02-11,181.73
2016-02-12,182.78
2016-02-15,184.5
2016-02-16,185.85
2016-02-17,186.89
2016-02-18,187.56
2016-02-19,187.87
2016-02-22,189.23
2016-02-23,189.01
2016-02-24,188.31
2016-02-25,188.92
2016-02-26,189.08
2016-02-29,189.0
2016-03-02,189.53
2016-03-03,188.31
2016-03-04,186.27
2016-03-07,185.41
2016-03-08,184.6
2016-03-09,185.17
2016-03-10,186.36
2016-03-11,185.39
2016-03-14,184.88
2016-03-15,182.88
2016-03-16,182.98
2016-03-17,183.04
2016-03-18,180.83
2016-03-21,179.76
2016-03-22,179.95
2016-03-23,178.84
2016-03-24,178.27
2016-03-25,179.19
2016-03-28,179.11
2016-03-29,179.31
2016-03-30,178.51
2016-03-31,177.69
2016-04-01,176.81
2016-04-04,177.44
2016-04-05,177.43
2016-04-06,178.38
2016-04-07,178.29
2016-04-08,178.12
2016-04-11,178.44
2016-04-12,177.5
2016-04-14,176.72
2016-04-15,177.66
2016-04-18,177.28
2016-04-19,177.35
2016-04-20,175.97
2016-04-21,174.89
2016-04-22,174.98
2016-04-25,175.85
2016-04-26,176.55
2016-04-27,176.74
2016-04-28,176.31
2016-04-29,175.95
2016-05-02,175.51
2016-05-03,175.95
2016-05-04,175.34
2016-05-09,177.2
2016-05-10,178.72
2016-05-11,179.51
2016-05-12,178.78
2016-05-13,178.35
2016-05-16,178.58
2016-05-17,179.79
2016-05-18,179.38
2016-05-19,180.33
2016-05-20,181.27
2016-05-23,181.11
2016-05-24,180.37
2016-05-25,181.12
2016-05-26,180.76
2016-05-27,180.09
2016-05-30,179.69
2016-05-31,180.77
2016-06-01,180.61
2016-06-02,180.78
2016-06-03,180.7
2016-06-07,180.16
2016-06-08,176.98
2016-06-09,175.94
2016-06-10,175.94
2016-06-13,176.58
2016-06-14,177.73
2016-06-15,177.73
2016-06-16,178.08
2016-06-17,177.45
2016-06-20,177.47
2016-06-21,176.64
2016-06-22,175.82
2016-06-23,175.22
2016-06-24,174.83
2016-06-27,175.15
2016-06-28,177.71
2016-06-29,176.32
2016-06-30,174.67
2016-07-01,173.2
2016-07-04,172.14
2016-07-05,172.0
2016-07-06,172.5
2016-07-07,173.97
2016-07-08,172.72
2016-07-11,172.98
2016-07-12,171.37
2016-07-13,171.41
2016-07-14,171.25
2016-07-15,170.65
2016-07-18,169.24
