date,AED,AUD,BHD,BND,CAD,CHF,CNH,DKK,EUR,GBP,HKD,IDR(100),JPY(100),KWD,MYR,NOK,NZD,SAR,SEK,SGD,THB,USD
2010-01-04,317.89,1050.37,3097.08,,1110.15,1128.17,,224.87,1673.46,1883.46,150.58,12.39,1256.5,4074.68,341.0,201.81,846.8,311.3,163.53,831.86,831.86,1161.0
2010-01-05,314.76,1054.51,3066.76,,1109.76,1122.31,,223.88,1665.97,1860.44,149.08,12.37,1250.96,4031.1,340.31,202.4,848.54,308.26,163.85,826.71,826.71,1147.3
2010-01-06,311.54,1043.72,3035.36,,1101.19,1106.67,,220.92,1643.96,1829.39,147.53,12.28,1248.35,3987.8,337.58,200.11,839.74,305.13,161.08,819.0,819.0,1141.4
2010-01-07,309.88,1046.4,3019.02,,1102.69,1107.41,,220.34,1639.52,1822.54,146.79,12.31,1232.35,3967.24,337.49,200.9,839.42,303.5,160.89,815.97,815.97,1132.0
2010-01-08,308.5,1039.54,3005.92,,1095.51,1095.46,,217.91,1621.38,1804.73,146.11,12.26,1211.91,3953.94,335.69,198.36,829.5,302.17,158.94,810.64,810.64,1134.1
2010-01-11,308.45,1051.73,3005.04,,1099.37,1106.62,,219.52,1633.47,1820.29,146.07,12.29,1223.96,3949.86,335.43,200.05,837.33,302.09,159.99,813.72,813.72,1121.3
2010-01-12,304.87,1040.8,2970.21,,1083.4,1102.44,,218.47,1625.56,1804.61,144.39,12.23,1216.58,3911.28,336.02,199.63,830.39,298.59,159.12,806.95,806.95,1123.3
2010-01-13,306.09,1035.44,2982.04,,1081.9,1103.78,,218.92,1628.85,1817.1,144.96,12.25,1234.23,3925.96,336.16,198.39,831.06,299.77,159.27,808.4,808.4,1127.0
2010-01-14,306.67,1040.57,2987.8,,1092.96,1106.1,,219.64,1634.41,1833.78,145.23,12.28,1232.05,3934.33,337.12,199.41,833.09,300.35,160.33,810.94,810.94,1123.1
2010-01-15,305.49,1044.96,2976.39,,1096.28,1101.5,,218.68,1627.16,1833.85,144.65,12.24,1230.24,3922.19,336.01,199.23,832.93,299.22,160.1,808.78,808.78,1122.2
2010-01-18,305.79,1034.58,2979.31,,1090.75,1093.14,,216.69,1612.58,1827.73,144.74,12.22,1236.8,3926.59,336.34,197.43,825.61,299.58,158.85,807.19,807.19,1128.4
2010-01-19,306.8,1043.96,2989.05,,1098.66,1100.92,,218.18,1623.75,1843.16,145.16,12.22,1243.13,3936.22,337.24,199.62,833.34,300.5,160.72,811.27,811.27,1123.4
2010-01-20,306.1,1036.38,2982.23,,1090.07,1088.38,,215.73,1605.39,1839.64,144.82,12.18,1234.21,3921.52,335.99,197.57,824.11,299.79,159.17,808.47,808.47,1128.0
2010-01-21,308.25,1031.41,3003.53,,1082.66,1084.37,,214.62,1597.34,1845.03,145.76,12.18,1240.88,3944.06,336.54,195.89,817.63,301.93,157.17,808.58,808.58,1137.9
2010-01-22,309.96,1025.73,3019.89,,1082.33,1090.99,,215.28,1602.27,1842.15,146.51,12.26,1261.78,3966.9,337.86,195.38,809.99,303.6,157.08,810.55,810.55,1148.7
2010-01-25,313.59,1038.37,3050.66,,1088.75,1105.07,,218.68,1628.14,1853.44,147.97,12.35,1277.6,4005.92,338.46,198.51,819.79,307.33,159.35,819.04,819.04,1148.7
2010-01-26,312.84,1039.02,3048.01,,1086.98,1105.06,,218.39,1625.8,1866.89,147.92,12.33,1272.75,4001.04,337.85,197.65,820.51,306.41,158.73,821.11,821.11,1143.3
