,DKK
2010-01-04,224.87
2010-01-05,223.88
2010-01-06,220.92
2010-01-07,220.34
2010-01-08,217.91
2010-01-11,219.52
2010-01-12,218.47
2010-01-13,218.92
2010-01-14,219.64
2010-01-15,218.68
2010-01-18,216.69
2010-01-19,218.18
2010-01-20,215.73
2010-01-21,214.62
2010-01-22,215.28
2010-01-25,218.68
2010-01-26,218.39
2010-01-27,217.55
2010-01-28,218.51
2010-01-29,216.88
2010-02-01,215.64
2010-02-02,218.52
2010-02-03,217.62
2010-02-04,215.01
2010-02-05,212.72
2010-02-08,214.88
2010-02-09,215.1
2010-02-10,216.11
2010-02-11,213.72
2010-02-12,212.76
2010-02-16,210.97
2010-02-17,213.18
2010-02-18,208.84
2010-02-19,207.8
2010-02-22,211.63
2010-02-23,210.02
2010-02-24,208.58
2010-02-25,210.33
2010-02-26,210.85
2010-03-02,211.48
2010-03-03,210.82
2010-03-04,211.15
2010-03-05,208.64
2010-03-08,209.37
2010-03-09,207.53
2010-03-10,207.44
2010-03-11,207.82
2010-03-12,208.02
2010-03-15,209.21
2010-03-16,208.42
2010-03-17,209.73
2010-03-18,208.48
2010-03-19,206.96
2010-03-22,205.84
2010-03-23,207.15
2010-03-24,205.56
2010-03-25,203.51
2010-03-26,203.64
2010-03-29,206.21
2010-03-30,206.29
2010-03-31,203.88
2010-04-01,205.62
2010-04-02,205.84
2010-04-05,203.78
2010-04-06,203.87
2010-04-07,202.22
2010-04-08,200.94
2010-04-09,201.6
2010-04-12,205.31
2010-04-13,203.21
2010-04-14,204.87
2010-04-15,204.72
2010-04-16,202.18
2010-04-19,201.81
2010-04-20,202.51
2010-04-21,201.27
2010-04-22,199.67
2010-04-23,197.27
2010-04-26,199.36
2010-04-27,198.98
2010-04-28,195.96
2010-04-29,198.69
2010-04-30,198.77
2010-05-03,198.4
2010-05-04,197.84
2010-05-06,191.96
2010-05-07,192.9
2010-05-10,200.53
2010-05-11,194.48
2010-05-12,191.86
2010-05-13,193.23
2010-05-14,190.59
2010-05-17,188.33
2010-05-18,191.36
2010-05-19,188.15
2010-05-20,194.05
2010-05-24,198.59
2010-05-25,201.03
2010-05-26,208.23
2010-05-27,205.02
2010-05-28,204.95
2010-05-31,198.14
2010-06-01,198.41
2010-06-03,198.73
2010-06-04,197.0
2010-06-07,193.03
2010-06-08,197.91
2010-06-09,198.47
2010-06-10,200.21
2010-06-11,205.31
2010-06-14,203.4
2010-06-15,201.21
2010-06-16,202.65
2010-06-17,200.43
2010-06-18,202.43
2010-06-21,201.09
2010-06-22,194.83
2010-06-23,195.04
2010-06-24,196.65
2010-06-25,196.43
2010-06-28,200.33
2010-06-29,197.85
2010-06-30,198.07
2010-07-01,201.89
2010-07-02,206.76
2010-07-05,205.73
2010-07-06,205.77
2010-07-07,207.94
2010-07-08,207.06
2010-07-09,206.19
2010-07-12,203.32
2010-07-13,202.19
2010-07-14,205.34
2010-07-15,205.04
2010-07-16,208.95
2010-07-19,208.09
2010-07-20,211.1
2010-07-21,209.65
2010-07-22,206.22
2010-07-23,208.91
2010-07-26,207.07
2010-07-27,208.21
2010-07-28,206.37
2010-07-29,206.94
2010-07-30,208.32
2010-08-02,207.69
2010-08-03,207.53
2010-08-04,207.4
2010-08-05,206.53
2010-08-06,206.7
2010-08-09,207.71
2010-08-10,205.74
2010-08-11,206.49
2010-08-12,203.01
2010-08-13,205.63
2010-08-16,203.44
2010-08-17,205.35
2010-08-18,203.75
2010-08-19,202.54
2010-08-20,201.66
2010-08-23,201.2
2010-08-24,200.51
2010-08-25,201.66
2010-08-26,203.34
2010-08-27,203.74
2010-08-30,204.66
2010-08-31,202.25
2010-09-01,203.88
2010-09-02,204.8
2010-09-03,203.46
2010-09-06,203.93
2010-09-07,202.31
2010-09-08,200.37
2010-09-09,201.16
2010-09-10,199.29
2010-09-13,199.23
2010-09-14,200.79
2010-09-15,202.61
2010-09-16,202.74
2010-09-17,204.24
2010-09-20,203.75
2010-09-24,207.71
2010-09-27,209.32
2010-09-28,207.1
2010-09-29,209.22
2010-09-30,208.82
2010-10-01,208.57
2010-10-04,209.72
2010-10-05,206.26
2010-10-06,209.95
2010-10-07,209.18
2010-10-08,208.6
2010-10-11,210.29
2010-10-12,207.45
2010-10-13,210.32
2010-10-14,209.7
2010-10-15,209.81
2010-10-18,208.89
2010-10-19,208.97
2010-10-20,206.8
2010-10-21,211.82
2010-10-22,210.16
2010-10-25,211.06
2010-10-26,208.64
2010-10-27,207.61
2010-10-28,207.95
2010-10-29,210.4
2010-11-01,210.68
2010-11-02,208.37
2010-11-03,209.81
2010-11-04,210.4
2010-11-05,211.09
2010-11-08,208.55
2010-11-09,207.89
2010-11-10,206.01
2010-11-11,205.79
2010-11-12,202.9
2010-11-15,205.68
2010-11-16,205.65
2010-11-17,204.16
2010-11-18,206.69
2010-11-19,208.44
2010-11-22,208.49
2010-11-23,205.86
2010-11-24,203.54
2010-11-25,205.63
2010-11-26,204.87
2010-11-29,204.38
2010-11-30,203.7
2010-12-01,201.13
2010-12-02,203.28
2010-12-03,203.71
2010-12-06,205.82
2010-12-07,202.26
2010-12-08,201.86
2010-12-09,202.87
2010-12-10,202.23
2010-12-13,202.16
2010-12-14,205.35
2010-12-15,204.78
2010-12-16,204.25
2010-12-17,205.59
2010-12-20,203.41
2010-12-21,205.23
2010-12-22,202.69
2010-12-23,203.24
2010-12-24,202.66
2010-12-27,202.66
2010-12-28,203.22
2010-12-29,201.75
2010-12-30,203.29
2010-12-31,203.04
2011-01-03,203.82
2011-01-04,201.9
2011-01-05,200.44
2011-01-06,198.43
2011-01-07,196.05
2011-01-10,194.26
2011-01-11,194.81
2011-01-12,196.1
2011-01-13,197.36
2011-01-14,199.38
2011-01-17,200.08
2011-01-18,198.73
2011-01-19,200.55
2011-01-20,200.94
2011-01-21,202.11
2011-01-24,204.81
2011-01-25,205.15
2011-01-26,205.14
2011-01-27,205.56
2011-01-28,205.2
2011-01-31,203.09
2011-02-01,206.31
2011-02-07,203.3
2011-02-08,201.67
2011-02-09,201.86
2011-02-10,203.37
2011-02-11,202.88
2011-02-14,203.17
2011-02-15,203.29
2011-02-16,203.1
2011-02-17,203.92
2011-02-18,203.74
2011-02-21,204.44
2011-02-22,204.83
2011-02-23,206.36
2011-02-24,207.62
2011-02-25,208.73
2011-02-28,207.8
2011-03-02,208.63
2011-03-03,209.86
2011-03-04,210.16
2011-03-07,209.47
2011-03-08,209.32
2011-03-09,208.35
2011-03-10,207.91
2011-03-11,206.95
2011-03-14,210.19
2011-03-15,211.98
2011-03-16,212.07
2011-03-17,211.45
2011-03-18,213.76
2011-03-21,214.49
2011-03-22,214.68
2011-03-23,213.36
2011-03-24,212.48
2011-03-25,213.48
2011-03-28,209.58
2011-03-29,210.35
2011-03-30,210.95
2011-03-31,209.65
2011-04-01,208.94
2011-04-04,208.83
2011-04-05,207.37
2011-04-06,207.81
2011-04-07,208.59
2011-04-08,208.63
2011-04-11,210.45
2011-04-12,209.85
2011-04-13,211.84
2011-04-14,211.6
2011-04-15,211.57
2011-04-18,210.31
2011-04-19,208.01
2011-04-20,210.04
2011-04-21,210.84
2011-04-22,210.79
2011-04-25,211.18
2011-04-26,211.41
2011-04-27,213.77
2011-04-28,214.07
2011-04-29,213.36
2011-05-02,212.76
2011-05-03,212.04
2011-05-04,212.77
2011-05-06,209.58
2011-05-09,208.96
2011-05-11,208.78
2011-05-12,204.88
2011-05-13,206.82
2011-05-16,205.61
2011-05-17,207.46
2011-05-18,208.84
2011-05-19,207.75
2011-05-20,208.3
2011-05-23,205.05
2011-05-24,205.37
2011-05-25,206.98
2011-05-26,207.07
2011-05-27,206.66
2011-05-30,207.3
2011-05-31,207.83
2011-06-01,208.34
2011-06-02,207.06
2011-06-03,209.88
2011-06-07,210.7
2011-06-08,212.8
2011-06-09,211.62
2011-06-10,210.76
2011-06-13,207.82
2011-06-14,209.77
2011-06-15,209.81
2011-06-16,205.81
2011-06-17,207.27
2011-06-20,208.3
2011-06-21,208.02
2011-06-22,208.32
2011-06-23,206.44
2011-06-24,206.03
2011-06-27,204.74
2011-06-28,208.57
2011-06-29,208.21
2011-06-30,209.2
2011-07-01,207.86
2011-07-04,207.98
2011-07-05,207.45
2011-07-06,206.15
2011-07-07,204.6
2011-07-08,204.93
2011-07-11,201.6
2011-07-12,199.42
2011-07-13,199.72
2011-07-14,202.8
2011-07-15,200.68
2011-07-18,200.25
2011-07-19,201.0
2011-07-20,201.32
2011-07-21,201.98
2011-07-22,204.01
2011-07-25,202.9
2011-07-26,203.35
2011-07-27,204.91
2011-07-28,202.57
2011-07-29,202.4
2011-08-01,203.16
2011-08-02,200.87
2011-08-03,200.01
2011-08-04,204.0
2011-08-05,199.87
2011-08-08,205.62
2011-08-09,204.32
2011-08-10,210.64
2011-08-11,205.02
2011-08-12,207.33
2011-08-16,209.07
2011-08-17,206.7
2011-08-18,207.82
2011-08-19,205.99
2011-08-22,208.98
2011-08-23,208.86
2011-08-24,209.4
2011-08-25,208.71
2011-08-26,209.39
2011-08-29,210.87
2011-08-30,209.69
2011-08-31,207.65
2011-09-01,206.51
2011-09-02,203.57
2011-09-05,201.9
2011-09-06,201.81
2011-09-07,201.52
2011-09-08,202.64
2011-09-09,200.37
2011-09-14,197.67
2011-09-15,203.18
2011-09-16,206.4
2011-09-19,203.67
2011-09-20,205.0
2011-09-21,211.38
2011-09-22,209.24
2011-09-23,213.21
2011-09-26,215.55
2011-09-28,215.26
2011-09-29,213.33
2011-09-30,215.17
2011-10-04,208.85
2011-10-05,214.77
2011-10-06,213.77
2011-10-07,214.02
2011-10-10,212.06
2011-10-11,214.92
2011-10-12,213.4
2011-10-13,217.13
2011-10-14,213.7
2011-10-17,216.36
2011-10-18,211.51
2011-10-19,211.6
2011-10-20,210.32
2011-10-21,210.94
2011-10-24,213.79
2011-10-25,212.75
2011-10-26,210.72
2011-10-27,210.61
2011-10-28,214.16
2011-10-31,209.96
2011-11-01,205.52
2011-11-02,204.43
