,EUR
2010-01-04,1673.46
2010-01-05,1665.97
2010-01-06,1643.96
2010-01-07,1639.52
2010-01-08,1621.38
2010-01-11,1633.47
2010-01-12,1625.56
2010-01-13,1628.85
2010-01-14,1634.41
2010-01-15,1627.16
2010-01-18,1612.58
2010-01-19,1623.75
2010-01-20,1605.39
2010-01-21,1597.34
2010-01-22,1602.27
2010-01-25,1628.14
2010-01-26,1625.8
2010-01-27,1619.91
2010-01-28,1626.81
2010-01-29,1614.59
2010-02-01,1605.43
2010-02-02,1626.98
2010-02-03,1620.2
2010-02-04,1600.58
2010-02-05,1583.54
2010-02-08,1599.94
2010-02-09,1601.24
2010-02-10,1609.09
2010-02-11,1591.19
2010-02-12,1584.01
2010-02-16,1570.32
2010-02-17,1586.74
2010-02-18,1554.47
2010-02-19,1546.66
2010-02-22,1575.07
2010-02-23,1563.22
2010-02-24,1552.37
2010-02-25,1565.76
2010-02-26,1569.23
2010-03-02,1574.04
2010-03-03,1569.06
2010-03-04,1571.53
2010-03-05,1552.77
2010-03-08,1558.12
2010-03-09,1544.38
2010-03-10,1543.54
2010-03-11,1546.42
2010-03-12,1547.89
2010-03-15,1556.79
2010-03-16,1550.89
2010-03-17,1560.54
2010-03-18,1551.26
2010-03-19,1539.93
2010-03-22,1531.68
2010-03-23,1541.26
2010-03-24,1529.43
2010-03-25,1514.3
2010-03-26,1515.46
2010-03-29,1534.62
2010-03-30,1535.4
2010-03-31,1518.21
2010-04-01,1530.74
2010-04-02,1532.63
2010-04-05,1517.47
2010-04-06,1518.04
2010-04-07,1505.35
2010-04-08,1495.81
2010-04-09,1500.54
2010-04-12,1528.22
2010-04-13,1512.73
2010-04-14,1525.02
2010-04-15,1523.54
2010-04-16,1504.89
2010-04-19,1501.93
2010-04-20,1507.06
2010-04-21,1497.91
2010-04-22,1486.15
2010-04-23,1468.03
2010-04-26,1483.74
2010-04-27,1480.8
2010-04-28,1458.38
2010-04-29,1478.63
2010-04-30,1479.32
2010-05-03,1476.52
2010-05-04,1472.47
2010-05-06,1428.86
2010-05-07,1435.87
2010-05-10,1492.46
2010-05-11,1447.24
2010-05-12,1428.05
2010-05-13,1437.48
2010-05-14,1417.77
2010-05-17,1401.25
2010-05-18,1423.86
2010-05-19,1400.08
2010-05-20,1443.85
2010-05-24,1477.96
2010-05-25,1496.09
2010-05-26,1549.3
2010-05-27,1524.9
2010-05-28,1524.79
2010-05-31,1474.21
2010-06-01,1476.05
2010-06-03,1478.61
2010-06-04,1465.88
2010-06-07,1435.98
2010-06-08,1472.01
2010-06-09,1476.38
2010-06-10,1489.46
2010-06-11,1527.3
2010-06-14,1512.84
2010-06-15,1496.28
2010-06-16,1507.36
2010-06-17,1491.1
2010-06-18,1505.77
2010-06-21,1496.22
2010-06-22,1449.69
2010-06-23,1451.7
2010-06-24,1463.45
2010-06-25,1461.94
2010-06-28,1491.18
2010-06-29,1473.25
2010-06-30,1475.42
2010-07-01,1503.86
2010-07-02,1540.05
2010-07-05,1533.03
2010-07-06,1533.35
2010-07-07,1549.88
2010-07-08,1543.19
2010-07-09,1537.01
2010-07-12,1515.7
2010-07-13,1507.41
2010-07-14,1531.23
2010-07-15,1527.72
2010-07-16,1556.77
2010-07-19,1550.68
2010-07-20,1573.25
2010-07-21,1562.25
2010-07-22,1536.88
2010-07-23,1556.84
2010-07-26,1543.13
2010-07-27,1552.24
2010-07-28,1537.91
2010-07-29,1542.03
2010-07-30,1552.38
2010-08-02,1547.43
2010-08-03,1546.25
2010-08-04,1545.31
2010-08-05,1538.77
2010-08-06,1540.15
2010-08-09,1547.7
2010-08-10,1532.91
2010-08-11,1538.54
2010-08-12,1512.65
2010-08-13,1531.99
2010-08-16,1516.31
2010-08-17,1529.62
2010-08-18,1517.81
2010-08-19,1508.93
2010-08-20,1502.41
2010-08-23,1499.0
2010-08-24,1493.8
2010-08-25,1502.06
2010-08-26,1514.21
2010-08-27,1517.25
2010-08-30,1524.12
2010-08-31,1505.94
2010-09-01,1517.72
2010-09-02,1524.62
2010-09-03,1514.75
2010-09-06,1518.18
2010-09-07,1506.28
2010-09-08,1491.79
2010-09-09,1497.6
2010-09-10,1483.76
2010-09-13,1483.43
2010-09-14,1495.07
2010-09-15,1508.66
2010-09-16,1509.74
2010-09-17,1520.94
2010-09-20,1517.44
2010-09-24,1547.57
2010-09-27,1559.46
2010-09-28,1542.95
2010-09-29,1559.09
2010-09-30,1555.98
2010-10-01,1554.45
2010-10-04,1563.03
2010-10-05,1537.66
2010-10-06,1564.78
2010-10-07,1559.4
2010-10-08,1555.2
2010-10-11,1567.97
2010-10-12,1547.0
2010-10-13,1568.16
2010-10-14,1563.77
2010-10-15,1564.32
2010-10-18,1557.57
2010-10-19,1558.49
2010-10-20,1542.42
