,GBP
2010-01-04,1883.46
2010-01-05,1860.44
2010-01-06,1829.39
2010-01-07,1822.54
2010-01-08,1804.73
2010-01-11,1820.29
2010-01-12,1804.61
2010-01-13,1817.1
2010-01-14,1833.78
2010-01-15,1833.85
2010-01-18,1827.73
2010-01-19,1843.16
2010-01-20,1839.64
2010-01-21,1845.03
2010-01-22,1842.15
2010-01-25,1853.44
2010-01-26,1866.89
2010-01-27,1857.58
2010-01-28,1875.1
2010-01-29,1864.91
2010-02-01,1845.46
2010-02-02,1864.22
2010-02-03,1853.43
2010-02-04,1833.73
2010-02-05,1818.24
2010-02-08,1827.17
2010-02-09,1828.44
2010-02-10,1832.26
2010-02-11,1806.09
2010-02-12,1815.84
2010-02-16,1808.69
2010-02-17,1819.8
2010-02-18,1792.21
2010-02-19,1774.95
2010-02-22,1787.01
2010-02-23,1779.35
2010-02-24,1773.17
2010-02-25,1781.67
2010-02-26,1768.3
2010-03-02,1739.6
2010-03-03,1725.13
2010-03-04,1732.11
2010-03-05,1719.13
2010-03-08,1731.92
2010-03-09,1705.54
2010-03-10,1702.6
2010-03-11,1696.5
2010-03-12,1706.23
2010-03-15,1717.01
2010-03-16,1706.52
2010-03-17,1727.48
2010-03-18,1730.39
2010-03-19,1725.06
2010-03-22,1698.73
2010-03-23,1716.91
2010-03-24,1704.29
2010-03-25,1691.16
2010-03-26,1690.0
2010-03-29,1702.96
2010-03-30,1706.08
2010-03-31,1705.08
2010-04-01,1721.8
2010-04-02,1725.06
2010-04-05,1716.58
2010-04-06,1721.46
2010-04-07,1714.97
2010-04-08,1708.61
2010-04-09,1716.08
2010-04-12,1727.71
2010-04-13,1710.01
2010-04-14,1723.67
2010-04-15,1725.93
2010-04-16,1714.6
2010-04-19,1703.86
2010-04-20,1713.59
2010-04-21,1713.42
2010-04-22,1710.55
2010-04-23,1702.95
2010-04-26,1707.51
2010-04-27,1709.21
2010-04-28,1687.76
2010-04-29,1701.29
2010-04-30,1712.52
2010-05-03,1697.11
2010-05-04,1701.15
2010-05-06,1682.99
2010-05-07,1688.59
2010-05-10,1713.66
2010-05-11,1682.9
2010-05-12,1687.35
2010-05-13,1688.49
2010-05-14,1652.28
2010-05-17,1646.0
2010-05-18,1663.68
2010-05-19,1643.18
2010-05-20,1679.96
2010-05-24,1705.55
2010-05-25,1745.89
2010-05-26,1807.6
2010-05-27,1802.05
2010-05-28,1797.18
2010-05-31,1734.95
2010-06-01,1745.2
2010-06-03,1769.41
2010-06-04,1763.02
2010-06-07,1734.63
2010-06-08,1786.63
2010-06-09,1782.04
2010-06-10,1805.66
2010-06-11,1855.41
2010-06-14,1811.4
2010-06-15,1804.92
2010-06-16,1810.03
2010-06-17,1784.53
2010-06-18,1801.72
2010-06-21,1788.77
2010-06-22,1736.93
2010-06-23,1752.38
2010-06-24,1778.02
2010-06-25,1769.62
2010-06-28,1811.39
2010-06-29,1812.12
2010-06-30,1822.95
2010-07-01,1838.45
2010-07-02,1866.75
2010-07-05,1855.0
2010-07-06,1851.31
2010-07-07,1859.98
2010-07-08,1854.45
2010-07-09,1835.21
2010-07-12,1805.87
2010-07-13,1798.29
2010-07-14,1829.06
2010-07-15,1830.22
2010-07-16,1860.36
2010-07-19,1838.94
2010-07-20,1851.09
2010-07-21,1852.12
2010-07-22,1827.91
2010-07-23,1842.69
2010-07-26,1846.32
2010-07-27,1850.36
2010-07-28,1845.05
2010-07-29,1850.82
2010-07-30,1852.86
2010-08-02,1861.16
2010-08-03,1865.12
2010-08-04,1863.32
2010-08-05,1857.87
2010-08-06,1856.74
2010-08-09,1861.62
2010-08-10,1842.27
2010-08-11,1849.66
2010-08-12,1841.3
2010-08-13,1860.11
2010-08-16,1850.72
2010-08-17,1866.4
2010-08-18,1835.83
2010-08-19,1830.99
2010-08-20,1827.53
2010-08-23,1833.62
2010-08-24,1832.14
2010-08-25,1832.25
2010-08-26,1849.76
2010-08-27,1853.47
2010-08-30,1856.92
2010-08-31,1839.72
2010-09-01,1836.85
2010-09-02,1839.54
2010-09-03,1818.98
2010-09-06,1819.94
2010-09-07,1802.48
2010-09-08,1805.42
2010-09-09,1820.17
2010-09-10,1803.45
2010-09-13,1793.22
2010-09-14,1789.02
2010-09-15,1803.89
2010-09-16,1814.21
2010-09-17,1817.44
2010-09-20,1819.67
2010-09-24,1821.71
2010-09-27,1830.58
2010-09-28,1815.74
2010-09-29,1815.2
2010-09-30,1803.96
2010-10-01,1793.44
2010-10-04,1794.05
2010-10-05,1778.49
