,HKD
2010-01-04,150.58
2010-01-05,149.08
2010-01-06,147.53
2010-01-07,146.79
2010-01-08,146.11
2010-01-11,146.07
2010-01-12,144.39
2010-01-13,144.96
2010-01-14,145.23
2010-01-15,144.65
2010-01-18,144.74
2010-01-19,145.16
2010-01-20,144.82
2010-01-21,145.76
2010-01-22,146.51
2010-01-25,147.97
2010-01-26,147.92
2010-01-27,148.06
2010-01-28,149.09
2010-01-29,148.87
2010-02-01,149.11
2010-02-02,150.33
2010-02-03,149.38
2010-02-04,148.35
2010-02-05,148.42
2010-02-08,150.7
2010-02-09,150.9
2010-02-10,150.14
2010-02-11,149.03
2010-02-12,148.93
2010-02-16,148.59
2010-02-17,148.38
2010-02-18,147.12
2010-02-19,147.75
2010-02-22,149.07
2010-02-23,148.06
2010-02-24,147.96
2010-02-25,148.89
2010-02-26,149.2
2010-03-02,149.44
2010-03-03,148.49
2010-03-04,147.71
2010-03-05,147.34
2010-03-08,147.1
2010-03-09,146.11
2010-03-10,146.21
2010-03-11,145.99
2010-03-12,145.76
2010-03-15,145.8
2010-03-16,146.14
2010-03-17,146.09
2010-03-18,145.53
2010-03-19,145.78
2010-03-22,145.99
2010-03-23,146.43
2010-03-24,146.13
2010-03-25,146.3
2010-03-26,147.03
2010-03-29,147.08
2010-03-30,146.65
2010-03-31,145.64
2010-04-01,145.86
2010-04-02,145.29
2010-04-05,144.75
2010-04-06,144.88
2010-04-07,144.63
2010-04-08,144.54
2010-04-09,144.76
2010-04-12,144.23
2010-04-13,143.47
2010-04-14,144.33
2010-04-15,143.75
2010-04-16,142.87
2010-04-19,143.41
2010-04-20,143.88
2010-04-21,143.72
2010-04-22,143.0
2010-04-23,143.08
2010-04-26,142.99
2010-04-27,142.2
2010-04-28,142.54
2010-04-29,144.03
2010-04-30,143.64
2010-05-03,142.76
2010-05-04,143.73
2010-05-06,143.51
2010-05-07,146.28
2010-05-10,148.94
2010-05-11,145.72
2010-05-12,145.24
2010-05-13,146.26
2010-05-14,145.34
2010-05-17,145.56
2010-05-18,147.43
2010-05-19,147.5
2010-05-20,149.37
2010-05-24,151.06
2010-05-25,155.35
2010-05-26,160.85
2010-05-27,161.06
2010-05-28,158.5
2010-05-31,154.11
2010-06-01,154.31
2010-06-03,155.16
2010-06-04,154.62
2010-06-07,154.12
2010-06-08,158.25
2010-06-09,158.06
2010-06-10,159.2
2010-06-11,161.92
2010-06-14,159.28
2010-06-15,157.21
2010-06-16,157.1
