,IDR(100)
2010-01-04,12.39
2010-01-05,12.37
2010-01-06,12.28
2010-01-07,12.31
2010-01-08,12.26
2010-01-11,12.29
2010-01-12,12.23
2010-01-13,12.25
2010-01-14,12.28
2010-01-15,12.24
2010-01-18,12.22
2010-01-19,12.22
2010-01-20,12.18
2010-01-21,12.18
2010-01-22,12.26
2010-01-25,12.35
2010-01-26,12.33
2010-01-27,12.27
2010-01-28,12.33
2010-01-29,12.4
2010-02-01,12.38
2010-02-02,12.44
2010-02-03,12.39
2010-02-04,12.4
2010-02-05,12.37
2010-02-08,12.48
2010-02-09,12.48
2010-02-10,12.44
2010-02-11,12.37
2010-02-12,12.35
2010-02-16,12.35
2010-02-17,12.38
2010-02-18,12.33
2010-02-19,12.35
2010-02-22,12.4
2010-02-23,12.37
2010-02-24,12.36
2010-02-25,12.42
2010-02-26,12.41
2010-03-02,12.53
2010-03-03,12.41
2010-03-04,12.36
2010-03-05,12.35
2010-03-08,12.36
2010-03-09,12.36
2010-03-10,12.34
2010-03-11,12.35
2010-03-12,12.31
2010-03-15,12.36
2010-03-16,12.37
2010-03-17,12.37
2010-03-18,12.4
2010-03-19,12.4
2010-03-22,12.35
2010-03-23,12.46
2010-03-24,12.44
2010-03-25,12.44
2010-03-26,12.5
2010-03-29,12.52
2010-03-30,12.53
2010-03-31,12.44
2010-04-01,12.46
2010-04-02,12.44
2010-04-05,12.39
2010-04-06,12.42
2010-04-07,12.42
2010-04-08,12.4
2010-04-09,12.4
2010-04-12,12.39
2010-04-13,12.34
2010-04-14,12.41
2010-04-15,12.39
2010-04-16,12.31
2010-04-19,12.36
2010-04-20,12.35
2010-04-21,12.39
2010-04-22,12.31
2010-04-23,12.32
2010-04-26,12.32
2010-04-27,12.26
2010-04-28,12.29
2010-04-29,12.38
2010-04-30,12.37
2010-05-03,12.3
2010-05-04,12.36
2010-05-06,12.26
2010-05-07,12.36
2010-05-10,12.61
2010-05-11,12.49
2010-05-12,12.43
2010-05-13,12.53
2010-05-14,12.45
2010-05-17,12.46
2010-05-18,12.59
2010-05-19,12.63
2010-05-20,12.72
2010-05-24,12.71
2010-05-25,13.09
2010-05-26,13.41
2010-05-27,13.44
2010-05-28,13.33
2010-05-31,12.96
2010-06-01,13.1
2010-06-03,13.11
2010-06-04,13.11
2010-06-07,13.08
2010-06-08,13.35
2010-06-09,13.34
2010-06-10,13.43
2010-06-11,13.67
2010-06-14,13.49
2010-06-15,13.37
2010-06-16,13.34
2010-06-17,13.23
2010-06-18,13.28
2010-06-21,13.26
2010-06-22,13.05
2010-06-23,13.11
2010-06-24,13.16
2010-06-25,13.1
2010-06-28,13.3
2010-06-29,13.31
2010-06-30,13.37
2010-07-01,13.58
2010-07-02,13.57
2010-07-05,13.49
2010-07-06,13.51
2010-07-07,13.56
2010-07-08,13.47
2010-07-09,13.36
2010-07-12,13.25
2010-07-13,13.24
2010-07-14,13.31
2010-07-15,13.25
2010-07-16,13.31
2010-07-19,13.28
2010-07-20,13.42
2010-07-21,13.4
2010-07-22,13.27
2010-07-23,13.34
2010-07-26,13.24
2010-07-27,13.23
2010-07-28,13.13
2010-07-29,13.18
2010-07-30,13.22
2010-08-02,13.26
2010-08-03,13.12
2010-08-04,13.07
2010-08-05,13.07
2010-08-06,13.07
2010-08-09,13.04
2010-08-10,12.97
2010-08-11,13.03
2010-08-12,13.12
2010-08-13,13.25
2010-08-16,13.23
2010-08-17,13.29
2010-08-18,13.13
2010-08-19,13.09
2010-08-20,13.09
2010-08-23,13.15
2010-08-24,13.18
2010-08-25,13.24
2010-08-26,13.32
2010-08-27,13.29
2010-08-30,13.26
2010-08-31,13.19
2010-09-01,13.25
2010-09-02,13.21
2010-09-03,13.11
2010-09-06,13.08
2010-09-07,13.01
2010-09-08,13.05
2010-09-09,13.07
2010-09-10,12.99
2010-09-13,12.96
2010-09-14,12.9
2010-09-15,12.94
