,KWD
2010-01-04,4074.68
2010-01-05,4031.1
2010-01-06,3987.8
2010-01-07,3967.24
2010-01-08,3953.94
2010-01-11,3949.86
2010-01-12,3911.28
2010-01-13,3925.96
2010-01-14,3934.33
2010-01-15,3922.19
2010-01-18,3926.59
2010-01-19,3936.22
2010-01-20,3921.52
2010-01-21,3944.06
2010-01-22,3966.9
2010-01-25,4005.92
2010-01-26,4001.04
2010-01-27,4012.97
2010-01-28,4038.31
2010-01-29,4026.81
2010-02-01,4026.08
2010-02-02,4060.92
2010-02-03,4029.38
2010-02-04,4004.73
2010-02-05,3995.91
2010-02-08,4058.22
2010-02-09,4066.16
2010-02-10,4050.69
2010-02-11,4017.14
2010-02-12,4013.53
2010-02-16,4003.12
2010-02-17,4001.74
2010-02-18,3959.6
2010-02-19,3955.67
2010-02-22,3998.62
2010-02-23,3968.58
2010-02-24,3963.08
2010-02-25,4000.35
2010-02-26,4014.97
2010-03-02,4017.45
2010-03-03,3994.66
2010-03-04,3964.73
2010-03-05,3966.02
2010-03-08,3956.69
2010-03-09,3931.0
2010-03-10,3932.14
2010-03-11,3925.63
2010-03-12,3922.32
2010-03-15,3933.58
2010-03-16,3934.97
2010-03-17,3938.1
2010-03-18,3923.24
2010-03-19,3922.68
2010-03-22,3925.5
2010-03-23,3940.3
2010-03-24,3931.85
2010-03-25,3925.53
2010-03-26,3944.69
2010-03-29,3956.68
2010-03-30,3942.52
2010-03-31,3916.19
2010-04-01,3922.62
2010-04-02,3887.87
2010-04-05,3899.35
2010-04-06,3901.58
2010-04-07,3892.35
2010-04-08,3884.35
2010-04-09,3889.33
2010-04-12,3872.62
2010-04-13,3871.71
2010-04-14,3897.49
2010-04-15,3884.75
2010-04-16,3862.39
2010-04-19,3877.39
2010-04-20,3879.82
2010-04-21,3871.62
2010-04-22,3851.04
2010-04-23,3846.55
2010-04-26,3850.16
2010-04-27,3831.34
2010-04-28,3832.68
2010-04-29,3875.78
2010-04-30,3862.53
2010-05-03,3841.62
2010-05-04,3859.43
2010-05-06,3844.77
2010-05-07,3923.74
