,MYR
2010-01-04,341.0
2010-01-05,340.31
2010-01-06,337.58
2010-01-07,337.49
2010-01-08,335.69
2010-01-11,335.43
2010-01-12,336.02
2010-01-13,336.16
2010-01-14,337.12
2010-01-15,336.01
2010-01-18,336.34
2010-01-19,337.24
2010-01-20,335.99
2010-01-21,336.54
2010-01-22,337.86
2010-01-25,338.46
2010-01-26,337.85
2010-01-27,336.88
2010-01-28,338.34
2010-01-29,338.78
2010-02-01,339.09
2010-02-02,340.86
2010-02-03,338.96
2010-02-04,338.93
2010-02-05,336.88
2010-02-08,340.01
2010-02-09,340.35
2010-02-10,340.69
2010-02-11,337.38
2010-02-12,338.23
2010-02-16,337.16
2010-02-17,337.5
2010-02-18,337.3
2010-02-19,337.33
2010-02-22,340.18
2010-02-23,337.91
2010-02-24,337.17
2010-02-25,340.05
2010-02-26,340.43
2010-03-02,342.72
2010-03-03,341.21
2010-03-04,340.62
2010-03-05,340.54
2010-03-08,339.8
2010-03-09,339.97
2010-03-10,339.52
2010-03-11,341.07
2010-03-12,340.82
2010-03-15,341.98
2010-03-16,341.48
2010-03-17,342.2
2010-03-18,343.1
2010-03-19,342.04
2010-03-22,342.68
2010-03-23,342.06
2010-03-24,341.71
2010-03-25,342.28
2010-03-26,343.99
2010-03-29,345.19
2010-03-30,348.46
2010-03-31,345.92
2010-04-01,347.23
2010-04-02,347.76
2010-04-05,346.15
2010-04-06,348.22
2010-04-07,349.41
2010-04-08,349.33
2010-04-09,350.92
2010-04-12,351.13
2010-04-13,347.08
2010-04-14,347.88
2010-04-15,348.6
2010-04-16,347.26
2010-04-19,348.86
2010-04-20,347.22
2010-04-21,348.23
2010-04-22,347.01
2010-04-23,346.57
2010-04-26,347.85
2010-04-27,347.8
2010-04-28,346.04
2010-04-29,347.92
2010-04-30,350.13
2010-05-03,347.98
2010-05-04,347.6
2010-05-06,344.81
2010-05-07,348.48
2010-05-10,354.45
2010-05-11,354.26
2010-05-12,352.61
2010-05-13,355.49
2010-05-14,354.82
2010-05-17,354.93
2010-05-18,356.39
2010-05-19,357.32
2010-05-20,357.72
2010-05-24,355.37
2010-05-25,365.06
2010-05-26,372.82
2010-05-27,377.78
2010-05-28,374.8
2010-05-31,363.97
2010-06-01,368.42
2010-06-03,367.11
2010-06-04,368.3
2010-06-07,366.69
2010-06-08,370.37
2010-06-09,370.75
2010-06-10,374.27
2010-06-11,382.04
2010-06-14,377.8
2010-06-15,376.46
2010-06-16,374.45
2010-06-17,371.93
2010-06-18,373.03
2010-06-21,373.52
2010-06-22,369.07
2010-06-23,367.38
2010-06-24,367.98
2010-06-25,366.48
2010-06-28,370.59
2010-06-29,372.39
2010-06-30,372.86
2010-07-01,379.19
2010-07-02,380.47
2010-07-05,378.67
2010-07-06,381.36
2010-07-07,383.22
2010-07-08,379.38
2010-07-09,379.24
2010-07-12,374.74
2010-07-13,373.75
2010-07-14,377.2
2010-07-15,374.93
2010-07-16,376.59
2010-07-19,374.7
2010-07-20,376.73
2010-07-21,377.16
2010-07-22,374.25
2010-07-23,376.39
2010-07-26,373.83
2010-07-27,373.54
2010-07-28,371.68
2010-07-29,371.48
2010-07-30,372.98
2010-08-02,372.2
2010-08-03,371.15
2010-08-04,370.02
2010-08-05,368.99
2010-08-06,369.98
2010-08-09,370.21
2010-08-10,368.85
2010-08-11,370.01
2010-08-12,369.93
2010-08-13,374.76
2010-08-16,374.53
2010-08-17,375.04
2010-08-18,373.47
2010-08-19,373.2
2010-08-20,374.72
2010-08-23,375.51
2010-08-24,377.31
2010-08-25,378.28
2010-08-26,379.84
2010-08-27,380.37
2010-08-30,380.69
2010-08-31,378.56
2010-09-01,379.94
2010-09-02,380.44
2010-09-03,377.62
2010-09-06,378.09
2010-09-07,375.97
2010-09-08,376.39
2010-09-09,377.65
2010-09-10,376.27
2010-09-13,374.87
2010-09-14,374.34
2010-09-15,373.92
2010-09-16,372.35
2010-09-17,373.12
2010-09-20,374.95
2010-09-24,375.42
2010-09-27,373.88
2010-09-28,371.65
2010-09-29,371.98
2010-09-30,370.3
2010-10-01,369.71
2010-10-04,367.66
2010-10-05,363.55
2010-10-06,365.15
2010-10-07,362.2
2010-10-08,361.56
2010-10-11,359.51
2010-10-12,359.63
2010-10-13,362.55
2010-10-14,361.95
2010-10-15,360.95
2010-10-18,361.5
2010-10-19,361.03
2010-10-20,361.46
2010-10-21,362.42
2010-10-22,362.59
2010-10-25,362.72
2010-10-26,361.14
2010-10-27,360.96
2010-10-28,362.33
2010-10-29,362.31
2010-11-01,361.36
2010-11-02,361.33
2010-11-03,360.93
2010-11-04,359.9
2010-11-05,359.05
2010-11-08,358.76
