,NOK
2010-01-04,201.81
2010-01-05,202.4
2010-01-06,200.11
2010-01-07,200.9
2010-01-08,198.36
2010-01-11,200.05
2010-01-12,199.63
2010-01-13,198.39
2010-01-14,199.41
2010-01-15,199.23
2010-01-18,197.43
2010-01-19,199.62
2010-01-20,197.57
2010-01-21,195.89
2010-01-22,195.38
2010-01-25,198.51
2010-01-26,197.65
2010-01-27,196.77
2010-01-28,198.15
2010-01-29,196.12
2010-02-01,195.61
2010-02-02,199.32
2010-02-03,198.76
2010-02-04,196.16
2010-02-05,193.26
2010-02-08,195.49
2010-02-09,195.96
2010-02-10,197.74
2010-02-11,195.93
2010-02-12,196.5
2010-02-16,195.09
2010-02-17,197.01
2010-02-18,194.15
2010-02-19,191.3
2010-02-22,194.69
2010-02-23,194.55
2010-02-24,193.04
2010-02-25,195.02
2010-02-26,195.06
2010-03-02,195.35
2010-03-03,194.3
2010-03-04,195.04
2010-03-05,192.88
2010-03-08,193.76
2010-03-09,192.19
2010-03-10,192.17
2010-03-11,192.83
2010-03-12,192.9
2010-03-15,194.15
2010-03-16,193.25
2010-03-17,194.68
2010-03-18,193.94
2010-03-19,192.74
2010-03-22,191.48
2010-03-23,191.67
2010-03-24,190.61
2010-03-25,188.26
2010-03-26,187.25
2010-03-29,189.26
2010-03-30,191.13
2010-03-31,188.91
2010-04-01,190.64
2010-04-02,190.68
2010-04-05,189.23
2010-04-06,189.61
2010-04-07,188.46
2010-04-08,187.68
2010-04-09,188.46
2010-04-12,191.63
2010-04-13,188.91
2010-04-14,190.55
2010-04-15,190.83
2010-04-16,189.4
2010-04-19,188.57
2010-04-20,189.04
2010-04-21,188.86
2010-04-22,187.64
2010-04-23,186.36
2010-04-26,188.44
2010-04-27,188.7
2010-04-28,186.1
2010-04-29,187.94
2010-04-30,188.88
2010-05-03,188.07
2010-05-04,188.08
2010-05-06,183.43
2010-05-07,181.67
2010-05-10,187.72
2010-05-11,184.33
2010-05-12,182.27
2010-05-13,185.0
2010-05-14,182.73
2010-05-17,181.52
2010-05-18,184.6
2010-05-19,180.69
2010-05-20,181.83
2010-05-24,181.54
2010-05-25,186.16
2010-05-26,191.29
2010-05-27,189.68
2010-05-28,191.46
2010-05-31,185.29
2010-06-01,185.75
2010-06-03,186.6
2010-06-04,186.29
2010-06-07,181.16
2010-06-08,184.11
2010-06-09,185.48
2010-06-10,187.59
2010-06-11,194.35
2010-06-14,193.41
2010-06-15,190.21
2010-06-16,191.93
2010-06-17,189.26
2010-06-18,190.84
2010-06-21,190.11
2010-06-22,183.4
2010-06-23,182.79
2010-06-24,183.33
2010-06-25,182.48
2010-06-28,187.07
2010-06-29,186.79
2010-06-30,185.92
2010-07-01,188.59
2010-07-02,191.7
2010-07-05,189.48
2010-07-06,189.82
2010-07-07,192.32
2010-07-08,191.05
2010-07-09,190.34
2010-07-12,188.61
2010-07-13,188.4
2010-07-14,192.6
2010-07-15,192.57
2010-07-16,195.19
2010-07-19,191.27
2010-07-20,192.78
2010-07-21,193.77
2010-07-22,191.63
2010-07-23,195.53
2010-07-26,193.62
2010-07-27,193.9
2010-07-28,191.83
2010-07-29,192.93
2010-07-30,194.96
2010-08-02,195.37
2010-08-03,196.49
2010-08-04,195.93
2010-08-05,195.03
2010-08-06,195.08
2010-08-09,195.54
2010-08-10,193.73
2010-08-11,193.37
2010-08-12,190.02
2010-08-13,193.14
2010-08-16,191.34
2010-08-17,193.45
2010-08-18,192.01
2010-08-19,190.54
2010-08-20,189.47
2010-08-23,189.03
2010-08-24,189.0
2010-08-25,188.53
2010-08-26,189.54
2010-08-27,189.33
2010-08-30,191.63
2010-08-31,188.58
2010-09-01,190.06
2010-09-02,192.45
2010-09-03,192.25
2010-09-06,192.86
2010-09-07,191.28
2010-09-08,189.09
2010-09-09,190.05
2010-09-10,189.07
2010-09-13,188.92
2010-09-14,190.1
2010-09-15,191.88
2010-09-16,190.49
2010-09-17,190.74
2010-09-20,190.63
2010-09-24,194.98
2010-09-27,196.8
2010-09-28,194.24
2010-09-29,196.16
2010-09-30,195.13
2010-10-01,193.89
2010-10-04,194.32
2010-10-05,191.43
2010-10-06,194.45
2010-10-07,194.23
2010-10-08,191.76
2010-10-11,193.36
2010-10-12,190.46
2010-10-13,192.52
2010-10-14,193.45
2010-10-15,193.77
2010-10-18,192.32
2010-10-19,190.96
2010-10-20,189.02
2010-10-21,194.17
2010-10-22,192.22
2010-10-25,194.46
2010-10-26,192.36
2010-10-27,190.49
2010-10-28,190.69
2010-10-29,191.27
2010-11-01,192.49
2010-11-02,190.68
2010-11-03,190.85
2010-11-04,191.46
2010-11-05,193.09
2010-11-08,192.47
2010-11-09,191.46
2010-11-10,190.53
2010-11-11,189.93
2010-11-12,186.68
2010-11-15,187.98
2010-11-16,188.56
2010-11-17,185.95
2010-11-18,188.93
2010-11-19,190.48
2010-11-22,189.62
2010-11-23,187.52
2010-11-24,185.84
2010-11-25,188.64
2010-11-26,188.13
2010-11-29,186.49
2010-11-30,187.88
2010-12-01,185.96
2010-12-02,187.76
2010-12-03,188.84
2010-12-06,191.83
2010-12-07,188.92
2010-12-08,189.04
2010-12-09,189.76
2010-12-10,188.76
2010-12-13,189.63
2010-12-14,192.96
2010-12-15,193.42
2010-12-16,192.77
2010-12-17,194.33
2010-12-20,192.12
2010-12-21,194.63
2010-12-22,192.6
2010-12-23,192.99
2010-12-24,192.95
2010-12-27,192.88
2010-12-28,193.6
2010-12-29,192.36
2010-12-30,193.88
2010-12-31,193.56
2011-01-03,195.07
2011-01-04,193.31
2011-01-05,191.54
2011-01-06,190.42
2011-01-07,188.4
2011-01-10,187.19
2011-01-11,187.73
2011-01-12,189.26
2011-01-13,189.6
2011-01-14,189.33
2011-01-17,190.55
2011-01-18,190.17
2011-01-19,191.44
2011-01-20,190.82
2011-01-21,190.31
2011-01-24,192.82
2011-01-25,193.77
2011-01-26,194.1
2011-01-27,193.86
2011-01-28,192.07
2011-01-31,191.16
2011-02-01,194.4
2011-02-07,193.73
2011-02-08,191.5
2011-02-09,191.34
2011-02-10,191.79
2011-02-11,190.81
2011-02-14,191.04
2011-02-15,192.8
2011-02-16,192.67
2011-02-17,195.67
2011-02-18,195.87
2011-02-21,196.36
2011-02-22,196.53
2011-02-23,198.41
2011-02-24,199.75
2011-02-25,200.39
2011-02-28,199.66
2011-03-02,201.43
2011-03-03,203.43
2011-03-04,201.74
2011-03-07,200.62
2011-03-08,201.2
2011-03-09,200.13
2011-03-10,200.22
2011-03-11,197.96
2011-03-14,201.14
2011-03-15,201.64
2011-03-16,199.68
2011-03-17,199.96
2011-03-18,201.2
2011-03-21,203.03
2011-03-22,203.02
2011-03-23,201.01
2011-03-24,200.78
2011-03-25,202.1
2011-03-28,198.29
2011-03-29,198.89
2011-03-30,199.28
2011-03-31,198.54
2011-04-01,198.71
2011-04-04,199.41
2011-04-05,197.92
2011-04-06,198.92
2011-04-07,198.81
2011-04-08,198.94
2011-04-11,201.18
2011-04-12,198.35
2011-04-13,199.69
2011-04-14,200.24
2011-04-15,201.73
2011-04-18,202.2
2011-04-19,199.25
2011-04-20,201.6
2011-04-21,202.15
2011-04-22,201.79
2011-04-25,201.87
2011-04-26,201.75
2011-04-27,204.71
2011-04-28,204.55
2011-04-29,204.82
2011-05-02,204.15
2011-05-03,203.25
2011-05-04,202.82
2011-05-06,196.5
2011-05-09,196.7
2011-05-11,199.36
2011-05-12,195.22
2011-05-13,196.62
2011-05-16,195.2
2011-05-17,196.06
2011-05-18,196.46
2011-05-19,196.15
2011-05-20,197.43
2011-05-23,195.15
2011-05-24,194.99
2011-05-25,196.83
2011-05-26,197.51
2011-05-27,198.0
2011-05-30,199.21
2011-05-31,199.66
2011-06-01,200.57
2011-06-02,197.9
2011-06-03,201.17
2011-06-07,200.3
2011-06-08,202.23
2011-06-09,200.33
2011-06-10,199.82
2011-06-13,196.56
2011-06-14,199.94
2011-06-15,200.65
2011-06-16,194.99
2011-06-17,197.25
2011-06-20,196.72
2011-06-21,195.69
2011-06-22,196.44
2011-06-23,197.0
2011-06-24,197.46
2011-06-27,195.95
2011-06-28,199.06
2011-06-29,199.3
2011-06-30,200.63
2011-07-01,198.47
2011-07-04,199.01
2011-07-05,199.23
2011-07-06,198.47
2011-07-07,196.96
2011-07-08,198.1
2011-07-11,194.69
2011-07-12,191.93
2011-07-13,190.34
2011-07-14,193.01
2011-07-15,190.85
2011-07-18,189.8
2011-07-19,190.75
2011-07-20,192.06
2011-07-21,193.01
2011-07-22,195.27
2011-07-25,194.2
2011-07-26,194.71
2011-07-27,196.9
2011-07-28,194.41
2011-07-29,194.71
2011-08-01,195.68
2011-08-02,195.51
2011-08-03,193.76
2011-08-04,197.83
2011-08-05,191.22
2011-08-08,195.51
2011-08-09,196.04
2011-08-10,200.39
2011-08-11,194.0
2011-08-12,196.35
2011-08-16,198.34
2011-08-17,196.41
2011-08-18,199.2
2011-08-19,195.88
2011-08-22,197.8
2011-08-23,198.6
2011-08-24,199.04
2011-08-25,198.43
2011-08-26,200.07
2011-08-29,202.17
2011-08-30,201.39
2011-08-31,199.93
2011-09-01,199.47
2011-09-02,196.63
2011-09-05,196.35
2011-09-06,196.0
2011-09-07,199.09
2011-09-08,198.85
2011-09-09,198.46
2011-09-14,191.56
2011-09-15,194.45
2011-09-16,198.95
2011-09-19,197.26
2011-09-20,196.87
2011-09-21,203.85
2011-09-22,199.88
2011-09-23,201.47
2011-09-26,203.71
2011-09-28,204.51
2011-09-29,202.14
2011-09-30,203.42
2011-10-04,199.16
2011-10-05,203.84
2011-10-06,203.64
2011-10-07,203.5
2011-10-10,202.18
2011-10-11,205.35
2011-10-12,204.55
2011-10-13,208.19
2011-10-14,205.46
2011-10-17,208.58
2011-10-18,203.42
2011-10-19,204.02
2011-10-20,202.64
2011-10-21,203.12
2011-10-24,206.27
2011-10-25,205.79
2011-10-26,203.8
2011-10-27,204.51
2011-10-28,207.73
2011-10-31,203.4
2011-11-01,198.69
2011-11-02,196.12
2011-11-03,198.64
2011-11-04,202.37
2011-11-07,198.77
2011-11-08,198.92
2011-11-09,199.45
2011-11-10,194.44
2011-11-11,199.19
2011-11-14,200.55
2011-11-15,195.85
2011-11-16,195.79
2011-11-17,195.6
2011-11-18,195.7
2011-11-21,196.29
2011-11-22,196.54
2011-11-23,198.49
2011-11-24,196.03
2011-11-25,196.72
2011-11-28,197.13
2011-11-29,195.67
2011-11-30,196.75
2011-12-01,197.53
2011-12-02,193.98
2011-12-05,195.19
2011-12-06,195.7
2011-12-07,196.68
2011-12-08,196.25
2011-12-09,195.41
2011-12-12,198.68
2011-12-13,195.97
2011-12-14,194.65
2011-12-15,193.66
2011-12-16,193.7
2011-12-19,194.14
2011-12-20,196.64
2011-12-21,197.91
2011-12-22,194.13
2011-12-23,194.65
2011-12-26,192.41
2011-12-27,192.55
2011-12-28,193.83
2011-12-29,192.34
2011-12-30,192.13
2012-01-02,192.91
2012-01-03,193.02
2012-01-04,194.57
2012-01-05,193.12
2012-01-06,191.13
2012-01-09,191.93
2012-01-10,194.01
2012-01-11,192.75
2012-01-12,191.78
2012-01-13,192.64
2012-01-16,189.31
2012-01-17,190.39
2012-01-18,190.0
2012-01-19,191.46
2012-01-20,192.4
2012-01-25,192.81
2012-01-26,192.78
2012-01-27,192.34
2012-01-30,193.7
2012-01-31,193.4
2012-02-01,191.94
2012-02-02,193.97
2012-02-03,191.94
2012-02-06,192.65
2012-02-07,192.43
2012-02-08,194.6
2012-02-09,193.56
2012-02-10,194.54
2012-02-13,196.03
2012-02-14,196.12
2012-02-15,195.81
2012-02-16,194.26
2012-02-17,196.86
2012-02-20,198.28
2012-02-21,197.86
2012-02-22,197.46
2012-02-23,199.25
2012-02-24,200.91
2012-02-27,202.11
2012-02-28,201.24
2012-02-29,202.32
2012-03-02,201.08
2012-03-05,198.48
2012-03-06,199.0
2012-03-07,196.38
2012-03-08,199.27
2012-03-09,200.38
2012-03-12,195.62
2012-03-13,197.65
2012-03-14,196.76
2012-03-15,193.0
2012-03-16,195.16
2012-03-19,196.28
2012-03-20,196.36
2012-03-21,194.91
2012-03-22,195.85
2012-03-23,195.37
2012-03-26,197.32
2012-03-27,200.57
2012-03-28,199.28
2012-03-29,198.25
2012-03-30,198.23
2012-04-02,199.98
2012-04-03,198.77
2012-04-04,196.19
2012-04-05,195.85
2012-04-06,194.88
2012-04-09,194.46
2012-04-10,196.9
2012-04-12,196.02
2012-04-13,198.06
2012-04-16,195.89
2012-04-17,197.88
2012-04-18,198.24
2012-04-19,197.44
2012-04-20,198.39
2012-04-23,199.03
2012-04-24,198.44
2012-04-25,199.13
2012-04-26,199.34
2012-04-27,197.64
2012-04-30,197.73
2012-05-02,197.77
2012-05-03,196.24
2012-05-04,196.62
2012-05-07,194.25
2012-05-08,196.45
2012-05-09,194.61
2012-05-10,195.39
2012-05-11,194.55
2012-05-14,195.05
2012-05-15,193.75
2012-05-16,192.35
2012-05-17,194.39
2012-05-18,194.24
2012-05-21,196.47
2012-05-22,196.69
2012-05-23,194.4
2012-05-24,195.85
2012-05-25,195.17
2012-05-29,196.46
2012-05-30,195.42
2012-05-31,193.5
2012-06-01,193.28
2012-06-04,192.69
2012-06-05,194.65
2012-06-07,194.65
2012-06-08,193.64
2012-06-11,195.54
2012-06-12,193.06
2012-06-13,194.9
2012-06-14,195.24
2012-06-15,196.36
2012-06-18,196.32
2012-06-19,193.57
2012-06-20,194.86
2012-06-21,195.22
2012-06-22,192.74
2012-06-25,193.78
2012-06-26,193.4
2012-06-27,192.82
2012-06-28,191.66
2012-06-29,190.05
2012-07-02,193.38
2012-07-03,191.47
2012-07-04,191.24
2012-07-05,189.55
2012-07-06,187.82
2012-07-09,185.97
2012-07-10,188.16
2012-07-11,187.33
2012-07-12,187.31
2012-07-13,187.73
2012-07-16,188.77
2012-07-17,188.5
2012-07-18,188.29
2012-07-19,187.01
2012-07-20,187.93
2012-07-23,187.52
2012-07-24,188.56
2012-07-25,187.83
2012-07-26,189.41
2012-07-27,190.44
2012-07-30,188.13
2012-07-31,188.06
2012-08-01,187.86
2012-08-02,186.55
2012-08-03,186.91
2012-08-06,190.02
2012-08-07,188.85
2012-08-08,190.14
2012-08-09,191.89
2012-08-10,190.27
2012-08-13,190.53
2012-08-14,190.26
2012-08-16,189.87
2012-08-17,190.65
2012-08-20,191.37
2012-08-21,191.81
2012-08-22,192.41
2012-08-23,193.78
2012-08-24,193.94
2012-08-27,194.53
2012-08-28,194.64
2012-08-29,194.99
2012-08-30,194.74
2012-08-31,194.97
2012-09-03,195.57
2012-09-04,194.84
2012-09-05,194.98
2012-09-06,194.63
2012-09-07,193.98
2012-09-10,197.21
2012-09-11,194.88
2012-09-12,195.88
2012-09-13,196.3
2012-09-14,197.67
2012-09-17,196.93
2012-09-18,195.56
2012-09-19,195.52
2012-09-20,196.08
2012-09-21,195.09
2012-09-24,195.14
2012-09-25,194.92
2012-09-26,195.19
2012-09-27,194.83
2012-09-28,195.95
2012-10-02,194.33
2012-10-04,193.35
2012-10-05,195.36
2012-10-08,195.49
2012-10-09,194.37
2012-10-10,193.72
2012-10-11,194.24
2012-10-12,195.4
2012-10-15,194.44
2012-10-16,194.76
2012-10-17,196.15
2012-10-18,196.01
2012-10-19,196.03
2012-10-22,195.16
2012-10-23,194.93
2012-10-24,192.33
2012-10-25,191.96
2012-10-26,190.72
2012-10-29,189.96
2012-10-30,190.09
2012-10-31,190.91
2012-11-01,191.23
2012-11-02,192.21
2012-11-05,191.81
2012-11-06,190.47
2012-11-07,191.07
2012-11-08,189.32
2012-11-09,190.2
2012-11-12,189.94
2012-11-13,189.36
2012-11-14,188.85
2012-11-15,188.85
2012-11-16,188.75
2012-11-19,188.38
2012-11-20,189.17
2012-11-21,188.75
2012-11-22,189.87
2012-11-23,190.75
2012-11-26,192.09
2012-11-27,192.19
2012-11-28,190.67
2012-11-29,191.48
2012-11-30,190.74
2012-12-03,190.82
2012-12-04,192.17
2012-12-05,192.76
2012-12-06,192.41
2012-12-07,191.52
2012-12-10,190.27
2012-12-11,190.37
2012-12-12,190.72
2012-12-13,191.32
2012-12-14,190.6
2012-12-17,191.23
2012-12-18,191.2
2012-12-20,192.01
2012-12-21,193.23
2012-12-24,192.86
2012-12-26,191.67
2012-12-27,191.97
2012-12-28,192.36
2012-12-31,191.72
2013-01-02,192.54
2013-01-03,191.92
2013-01-04,190.37
2013-01-07,189.68
2013-01-08,190.67
2013-01-09,189.83
2013-01-10,189.69
2013-01-11,192.02
2013-01-14,191.38
2013-01-15,191.79
2013-01-16,189.27
2013-01-17,190.12
2013-01-18,190.02
2013-01-21,188.46
2013-01-22,189.16
2013-01-23,190.86
2013-01-24,191.54
2013-01-25,193.06
2013-01-29,195.47
2013-01-30,197.83
2013-01-31,197.83
2013-02-01,199.27
2013-02-04,200.46
2013-02-05,198.69
2013-02-06,198.39
2013-02-07,198.04
2013-02-08,197.24
2013-02-12,198.79
2013-02-13,199.46
2013-02-14,198.32
2013-02-15,195.78
2013-02-18,194.48
2013-02-19,194.91
2013-02-20,195.37
2013-02-21,192.5
2013-02-22,190.96
2013-02-25,191.7
2013-02-26,190.79
2013-02-27,190.98
2013-02-28,190.74
2013-03-04,188.19
2013-03-05,190.89
2013-03-06,190.7
2013-03-07,189.46
2013-03-08,191.56
2013-03-11,190.23
2013-03-12,191.86
2013-03-13,191.67
2013-03-14,191.13
2013-03-15,190.87
2013-03-18,191.36
2013-03-19,192.34
2013-03-20,190.01
2013-03-21,191.05
2013-03-22,191.19
2013-03-25,192.18
2013-03-26,190.5
2013-03-27,190.13
2013-03-28,189.5
2013-03-29,190.41
2013-04-01,190.19
2013-04-02,191.65
2013-04-03,191.41
2013-04-04,192.61
2013-04-05,194.2
2013-04-08,196.79
2013-04-09,198.34
2013-04-10,199.51
2013-04-11,198.07
2013-04-12,198.07
2013-04-15,197.75
2013-04-16,195.36
2013-04-17,195.6
2013-04-18,192.07
2013-04-19,192.76
2013-04-22,192.31
2013-04-23,191.75
2013-04-24,189.26
2013-04-25,189.8
2013-04-26,189.66
2013-04-29,189.6
2013-04-30,190.64
2013-05-02,191.16
2013-05-03,189.58
2013-05-06,189.54
2013-05-07,187.33
2013-05-08,187.26
2013-05-09,189.2
2013-05-10,187.96
2013-05-13,190.03
2013-05-14,192.26
2013-05-15,190.22
2013-05-16,190.28
