,NZD
2010-01-04,846.8
2010-01-05,848.54
2010-01-06,839.74
2010-01-07,839.42
2010-01-08,829.5
2010-01-11,837.33
2010-01-12,830.39
2010-01-13,831.06
2010-01-14,833.09
2010-01-15,832.93
2010-01-18,825.61
2010-01-19,833.34
2010-01-20,824.11
2010-01-21,817.63
2010-01-22,809.99
2010-01-25,819.79
2010-01-26,820.51
2010-01-27,813.9
2010-01-28,818.77
2010-01-29,813.31
2010-02-01,813.25
2010-02-02,828.79
2010-02-03,826.57
2010-02-04,804.01
2010-02-05,793.53
2010-02-08,806.94
2010-02-09,801.12
2010-02-10,811.84
2010-02-11,803.06
2010-02-12,807.31
2010-02-16,804.73
2010-02-17,814.41
2010-02-18,802.63
2010-02-19,799.0
2010-02-22,810.11
2010-02-23,806.12
2010-02-24,796.14
2010-02-25,801.52
2010-02-26,800.74
2010-03-02,811.79
2010-03-03,802.28
2010-03-04,796.2
2010-03-05,784.07
2010-03-08,799.44
2010-03-09,793.36
2010-03-10,797.89
2010-03-11,795.04
2010-03-12,791.25
2010-03-15,795.28
2010-03-16,795.32
2010-03-17,807.82
2010-03-18,806.01
2010-03-19,808.6
2010-03-22,800.17
2010-03-23,804.19
2010-03-24,799.91
2010-03-25,798.14
2010-03-26,802.72
2010-03-29,803.47
2010-03-30,807.72
2010-03-31,803.15
2010-04-01,800.85
2010-04-02,798.5
2010-04-05,794.37
2010-04-06,792.3
2010-04-07,793.3
2010-04-08,792.78
2010-04-09,794.55
2010-04-12,804.81
2010-04-13,793.57
2010-04-14,794.82
2010-04-15,798.45
2010-04-16,789.01
2010-04-19,787.92
2010-04-20,792.51
2010-04-21,793.56
2010-04-22,787.84
2010-04-23,787.18
2010-04-26,796.76
2010-04-27,798.41
2010-04-28,788.76
2010-04-29,803.37
2010-04-30,808.12
2010-05-03,807.82
2010-05-04,815.32
2010-05-06,808.87
2010-05-07,808.53
2010-05-10,831.14
2010-05-11,816.0
2010-05-12,810.17
2010-05-13,813.17
2010-05-14,805.78
2010-05-17,799.86
2010-05-18,802.98
2010-05-19,792.49
2010-05-20,795.65
2010-05-24,796.26
2010-05-25,812.28
2010-05-26,839.54
2010-05-27,836.19
2010-05-28,841.54
2010-05-31,812.78
2010-06-01,818.47
2010-06-03,822.17
2010-06-04,823.77
2010-06-07,802.45
2010-06-08,812.99
2010-06-09,822.74
2010-06-10,835.5
2010-06-11,863.62
2010-06-14,858.58
2010-06-15,851.5
2010-06-16,853.79
2010-06-17,845.04
2010-06-18,855.63
2010-06-21,859.57
2010-06-22,834.28
2010-06-23,835.15
2010-06-24,847.31
2010-06-25,839.18
2010-06-28,857.57
2010-06-29,846.28
2010-06-30,838.74
2010-07-01,842.13
2010-07-02,851.87
2010-07-05,839.64
2010-07-06,840.86
2010-07-07,849.95
2010-07-08,859.78
2010-07-09,858.14
2010-07-12,850.37
2010-07-13,851.96
2010-07-14,865.14
2010-07-15,864.98
2010-07-16,872.44
2010-07-19,850.86
2010-07-20,856.97
2010-07-21,868.44
2010-07-22,856.36
2010-07-23,875.49
2010-07-26,869.71
2010-07-27,875.5
2010-07-28,866.51
2010-07-29,857.01
2010-07-30,860.13
2010-08-02,861.67
2010-08-03,860.34
2010-08-04,857.3
2010-08-05,853.03
2010-08-06,852.55
2010-08-09,854.05
2010-08-10,845.33
2010-08-11,843.07
2010-08-12,837.77
2010-08-13,851.04
2010-08-16,838.4
2010-08-17,841.09
2010-08-18,838.88
2010-08-19,837.34
2010-08-20,828.82
2010-08-23,832.89
2010-08-24,833.88
2010-08-25,835.75
2010-08-26,838.57
2010-08-27,838.35
2010-08-30,852.48
2010-08-31,836.89
2010-09-01,837.52
2010-09-02,847.23
2010-09-03,843.47
2010-09-06,846.84
2010-09-07,847.01
2010-09-08,844.89
2010-09-09,849.1
2010-09-10,847.71
2010-09-13,850.42
2010-09-14,847.82
2010-09-15,850.44
2010-09-16,844.95
2010-09-17,842.85
2010-09-20,844.7
2010-09-24,846.71
2010-09-27,850.76
2010-09-28,842.87
2010-09-29,848.86
2010-09-30,840.74
2010-10-01,837.49
2010-10-04,843.99
2010-10-05,830.71
2010-10-06,845.99
2010-10-07,841.98
2010-10-08,838.39
2010-10-11,847.95
2010-10-12,838.0
2010-10-13,852.69
2010-10-14,848.47
2010-10-15,843.84
2010-10-18,841.15
2010-10-19,844.94
2010-10-20,836.18
2010-10-21,851.98
2010-10-22,840.37
2010-10-25,843.68
2010-10-26,839.46
2010-10-27,836.82
2010-10-28,840.78
2010-10-29,849.57
2010-11-01,861.25
2010-11-02,857.27
2010-11-03,860.15
2010-11-04,873.7
2010-11-05,879.18
2010-11-08,874.48
2010-11-09,876.12
2010-11-10,866.42
2010-11-11,869.27
2010-11-12,863.3
2010-11-15,867.95
2010-11-16,872.53
