,SAR
2010-01-04,311.3
2010-01-05,308.26
2010-01-06,305.13
2010-01-07,303.5
2010-01-08,302.17
2010-01-11,302.09
2010-01-12,298.59
2010-01-13,299.77
2010-01-14,300.35
2010-01-15,299.22
2010-01-18,299.58
2010-01-19,300.5
2010-01-20,299.79
2010-01-21,301.93
2010-01-22,303.6
2010-01-25,307.33
2010-01-26,306.41
2010-01-27,306.97
2010-01-28,309.34
2010-01-29,308.38
2010-02-01,308.75
2010-02-02,311.39
2010-02-03,309.34
2010-02-04,307.25
2010-02-05,307.54
2010-02-08,312.29
2010-02-09,312.67
2010-02-10,311.07
2010-02-11,308.8
2010-02-12,308.56
2010-02-16,307.97
2010-02-17,307.42
2010-02-18,304.74
2010-02-19,306.0
2010-02-22,308.77
2010-02-23,306.48
2010-02-24,306.25
2010-02-25,308.27
2010-02-26,308.89
2010-03-02,309.38
2010-03-03,307.38
2010-03-04,305.76
2010-03-05,305.01
2010-03-08,304.51
2010-03-09,302.31
2010-03-10,302.53
2010-03-11,302.04
2010-03-12,301.59
2010-03-15,301.61
2010-03-16,302.37
2010-03-17,302.3
2010-03-18,301.19
2010-03-19,301.67
2010-03-22,302.11
2010-03-23,303.05
2010-03-24,302.47
2010-03-25,302.79
2010-03-26,304.31
2010-03-29,304.45
2010-03-30,303.62
2010-03-31,301.55
2010-04-01,301.99
2010-04-02,300.88
2010-04-05,299.8
2010-04-06,300.01
2010-04-07,299.49
2010-04-08,299.13
2010-04-09,299.5
2010-04-12,298.34
2010-04-13,296.78
2010-04-14,298.68
2010-04-15,297.5
2010-04-16,295.65
2010-04-19,296.88
2010-04-20,297.85
2010-04-21,297.53
2010-04-22,296.01
2010-04-23,296.11
2010-04-26,295.98
2010-04-27,294.38
2010-04-28,295.13
2010-04-29,298.35
2010-04-30,297.45
2010-05-03,295.58
2010-05-04,297.53
2010-05-06,297.21
2010-05-07,303.21
2010-05-10,308.97
2010-05-11,302.33
2010-05-12,301.34
2010-05-13,303.47
2010-05-14,301.58
2010-05-17,302.14
2010-05-18,306.62
2010-05-19,306.7
2010-05-20,310.67
2010-05-24,314.31
2010-05-25,323.19
2010-05-26,334.67
2010-05-27,334.08
2010-05-28,329.1
2010-05-31,320.07
2010-06-01,320.41
2010-06-03,322.36
2010-06-04,321.23
2010-06-07,320.25
2010-06-08,329.31
2010-06-09,328.92
2010-06-10,331.23
2010-06-11,336.38
2010-06-14,330.89
2010-06-15,326.63
2010-06-16,326.35
2010-06-17,322.92
2010-06-18,324.22
2010-06-21,321.55
2010-06-22,313.77
2010-06-23,315.32
2010-06-24,316.83
2010-06-25,316.07
2010-06-28,321.27
2010-06-29,320.07
2010-06-30,322.71
2010-07-01,328.0
2010-07-02,328.28
2010-07-05,325.63
2010-07-06,326.32
2010-07-07,327.65
2010-07-08,325.8
2010-07-09,322.97
2010-07-12,319.65
2010-07-13,319.31
2010-07-14,321.25
2010-07-15,319.74
2010-07-16,321.21
2010-07-19,320.27
2010-07-20,324.21
2010-07-21,323.13
2010-07-22,320.92
2010-07-23,321.81
2010-07-26,319.28
2010-07-27,318.48
2010-07-28,315.61
2010-07-29,316.39
2010-07-30,316.58
2010-08-02,315.98
2010-08-03,312.89
2010-08-04,311.61
2010-08-05,311.85
2010-08-06,311.51
2010-08-09,310.84
2010-08-10,309.08
2010-08-11,311.24
2010-08-12,313.92
2010-08-13,318.28
2010-08-16,316.43
2010-08-17,318.17
2010-08-18,314.28
2010-08-19,313.01
2010-08-20,312.87
2010-08-23,314.64
2010-08-24,315.05
2010-08-25,317.06
2010-08-26,318.74
2010-08-27,318.49
2010-08-30,318.69
2010-08-31,317.07
2010-09-01,319.13
2010-09-02,317.47
2010-09-03,314.91
2010-09-06,314.06
