,SEK
2010-01-04,163.53
2010-01-05,163.85
2010-01-06,161.08
2010-01-07,160.89
2010-01-08,158.94
2010-01-11,159.99
2010-01-12,159.12
2010-01-13,159.27
2010-01-14,160.33
2010-01-15,160.1
2010-01-18,158.85
2010-01-19,160.72
2010-01-20,159.17
2010-01-21,157.17
2010-01-22,157.08
2010-01-25,159.35
2010-01-26,158.73
2010-01-27,158.22
2010-01-28,159.0
2010-01-29,157.25
2010-02-01,156.67
2010-02-02,160.9
2010-02-03,160.52
2010-02-04,158.55
2010-02-05,155.17
2010-02-08,157.22
2010-02-09,157.57
2010-02-10,159.44
2010-02-11,158.65
2010-02-12,159.95
2010-02-16,159.37
2010-02-17,160.4
2010-02-18,158.41
2010-02-19,157.72
2010-02-22,160.31
2010-02-23,159.77
2010-02-24,158.08
2010-02-25,160.3
2010-02-26,161.16
2010-03-02,161.7
2010-03-03,160.58
2010-03-04,160.56
2010-03-05,159.73
2010-03-08,160.73
2010-03-09,159.37
2010-03-10,158.97
2010-03-11,158.86
2010-03-12,158.98
2010-03-15,160.44
2010-03-16,159.54
2010-03-17,160.41
2010-03-18,159.57
2010-03-19,158.75
2010-03-22,157.72
2010-03-23,158.02
2010-03-24,157.45
2010-03-25,156.0
2010-03-26,156.71
2010-03-29,157.78
2010-03-30,157.2
2010-03-31,155.49
2010-04-01,156.96
2010-04-02,157.6
2010-04-05,156.54
2010-04-06,156.85
2010-04-07,156.08
2010-04-08,154.45
2010-04-09,155.29
2010-04-12,157.24
2010-04-13,155.0
2010-04-14,156.7
2010-04-15,156.71
2010-04-16,155.22
2010-04-19,154.85
2010-04-20,155.74
2010-04-21,155.89
2010-04-22,154.46
2010-04-23,152.66
2010-04-26,154.73
2010-04-27,154.66
2010-04-28,151.83
2010-04-29,153.77
2010-04-30,154.17
2010-05-03,153.23
2010-05-04,153.38
2010-05-06,146.89
2010-05-07,145.99
2010-05-10,153.19
2010-05-11,150.38
2010-05-12,148.14
2010-05-13,150.66
2010-05-14,148.3
2010-05-17,146.27
2010-05-18,148.92
2010-05-19,146.17
2010-05-20,149.06
2010-05-24,149.94
2010-05-25,153.46
2010-05-26,158.29
2010-05-27,156.07
2010-05-28,156.78
2010-05-31,153.0
2010-06-01,153.51
2010-06-03,154.89
2010-06-04,153.35
2010-06-07,149.33
2010-06-08,152.06
2010-06-09,153.26
2010-06-10,154.68
2010-06-11,159.65
2010-06-14,157.71
2010-06-15,155.36
2010-06-16,157.62
2010-06-17,155.45
2010-06-18,157.34
