,THB
2010-01-04,831.86
2010-01-05,826.71
2010-01-06,819.0
2010-01-07,815.97
2010-01-08,810.64
2010-01-11,813.72
2010-01-12,806.95
2010-01-13,808.4
2010-01-14,810.94
2010-01-15,808.78
2010-01-18,807.19
2010-01-19,811.27
2010-01-20,808.47
2010-01-21,808.58
2010-01-22,810.55
2010-01-25,819.04
2010-01-26,821.11
2010-01-27,820.18
2010-01-28,825.4
2010-01-29,823.28
2010-02-01,821.47
2010-02-02,828.29
2010-02-03,823.79
2010-02-04,815.43
2010-02-05,811.21
2010-02-08,825.4
2010-02-09,823.63
2010-02-10,823.55
2010-02-11,816.57
2010-02-12,819.21
2010-02-16,817.63
2010-02-17,821.04
2010-02-18,812.04
2010-02-19,811.64
2010-02-22,820.32
2010-02-23,815.31
2010-02-24,814.89
2010-02-25,819.99
2010-02-26,822.32
2010-03-02,825.68
2010-03-03,821.71
2010-03-04,819.53
2010-03-05,816.5
2010-03-08,815.76
2010-03-09,810.05
2010-03-10,811.08
2010-03-11,810.08
2010-03-12,809.48
2010-03-15,811.2
2010-03-16,811.46
2010-03-17,813.01
2010-03-18,810.69
2010-03-19,810.56
2010-03-22,809.85
2010-03-23,811.24
2010-03-24,809.81
2010-03-25,807.38
2010-03-26,810.74
2010-03-29,813.87
2010-03-30,813.81
2010-03-31,808.0
2010-04-01,809.22
2010-04-02,807.43
2010-04-05,803.82
2010-04-06,805.02
2010-04-07,804.22
2010-04-08,803.73
2010-04-09,805.59
2010-04-12,807.1
2010-04-13,800.14
2010-04-14,804.24
2010-04-15,812.45
2010-04-16,806.8
2010-04-19,808.31
2010-04-20,810.83
2010-04-21,811.25
2010-04-22,808.7
2010-04-23,808.52
2010-04-26,809.69
2010-04-27,807.28
2010-04-28,805.3
2010-04-29,814.1
2010-04-30,815.33
2010-05-03,808.18
2010-05-04,813.86
2010-05-06,800.0
2010-05-07,809.5
2010-05-10,835.79
2010-05-11,820.76
2010-05-12,816.87
2010-05-13,824.62
2010-05-14,817.94
2010-05-17,815.94
2010-05-18,827.77
2010-05-19,823.54
2010-05-20,834.6
2010-05-24,837.82
2010-05-25,860.52
2010-05-26,889.04
2010-05-27,887.42
2010-05-28,881.67
2010-05-31,853.02
2010-06-01,858.07
2010-06-03,861.32
2010-06-04,856.31
2010-06-07,847.79
2010-06-08,869.61
2010-06-09,872.78
2010-06-10,878.35
2010-06-11,898.25
2010-06-14,885.85
2010-06-15,876.57
2010-06-16,879.49
2010-06-17,869.03
2010-06-18,873.27
2010-06-21,879.71
2010-06-22,853.45
2010-06-23,853.31
2010-06-24,855.87
2010-06-25,851.53
2010-06-28,868.91
2010-06-29,865.37
2010-06-30,862.99
2010-07-01,878.83
2010-07-02,886.07
2010-07-05,877.68
2010-07-06,878.46
2010-07-07,885.61
2010-07-08,882.93
2010-07-09,878.38
2010-07-12,867.91
2010-07-13,866.12
2010-07-14,875.37
2010-07-15,872.56
2010-07-16,877.26
2010-07-19,871.31
2010-07-20,882.62
2010-07-21,881.92
2010-07-22,873.12
2010-07-23,879.66
2010-07-26,873.14
2010-07-27,877.75
2010-07-28,868.63
2010-07-29,867.96
2010-07-30,870.89
2010-08-02,871.07
2010-08-03,869.8
2010-08-04,865.77
2010-08-05,864.7
2010-08-06,862.97
2010-08-09,865.5
2010-08-10,859.68
